l,t
1000,3.9368093013763428
2000,7.824187755584717
3000,11.674029111862183
4000,16.201801538467407
5000,19.997875452041626
6000,24.95678687095642
7000,28.903746128082275
8000,33.547141790390015
9000,37.56586956977844
10000,42.20686316490173
11000,46.6539351940155
12000,51.332608461380005
13000,57.00110149383545
14000,62.33428454399109
15000,67.14602470397949
16000,71.68280410766602
17000,75.56083822250366
18000,79.36996006965637
19000,83.40827441215515
20000,88.16889691352844
21000,92.29175353050232
22000,96.53111863136292
23000,100.9977650642395
24000,104.7098388671875
25000,108.88195776939392
26000,113.28588223457336
27000,117.44581174850464
28000,121.42861676216125
29000,125.88854742050171
30000,129.98012924194336
31000,133.54579162597656
32000,138.84815621376038
33000,143.9977502822876
