r,l,t
3135.961220562458,4500,18.228070735931396
3134.064083278179,4500,37.566370248794556
551.1172010302544,144,38.18463850021362
533.0944364070892,149,38.941927433013916
560.6028675436974,135,39.608845233917236
550.1686351299286,138,40.19757866859436
546.3743683099747,139,40.87468981742859
534.9915692210197,149,41.52316474914551
549.2200683355331,145,42.16370129585266
555.8600347042084,138,42.75708317756653
560.6028668284416,131,43.34677791595459
543.5286692380905,147,43.969767570495605
531.1973036527634,155,44.60264706611633
545.4258021712303,141,45.22828698158264
551.1172013878822,137,45.91806960105896
557.7571675181389,135,46.542882442474365
553.0143347382545,135,47.20739793777466
545.4258015155792,137,47.82442307472229
552.0657679438591,134,48.43024468421936
553.9629014134407,137,49.04248285293579
550.1686346530914,143,49.72672915458679
539.7344026565552,149,50.454317569732666
533.094436109066,147,51.13188648223877
557.7571676373482,136,51.72555375099182
537.8372694253922,146,52.44505286216736
557.757167339325,133,53.102110385894775
548.2715017795563,140,54.052958965301514
522.6602037549019,152,54.92096543312073
548.2715027332306,153,55.84220337867737
559.6543002724648,129,56.66952991485596
557.7571678757668,133,57.451797008514404
552.0657681822777,143,58.21467185020447
536.8887028098106,152,58.9412157535553
533.094436109066,147,59.630326986312866
568.1914007663727,139,60.34436583518982
550.168635070324,139,61.13441610336304
1659.0430198311806,4500,80.55392575263977
548.2715036869049,160,81.25276589393616
542.5801039934158,162,81.9459478855133
3151.1382831931114,4500,101.46987748146057
585.2655994296074,188,102.17933058738708
5141.231033027172,4500,120.6977596282959
1028.2462005615234,191,121.45302844047546
4241.041310727596,1529,128.17127394676208
609.9283293485641,148,128.77023100852966
611.8254627585411,148,129.3222963809967
608.0311952829361,149,129.8770933151245
608.9797616004944,149,130.42640113830566
609.9283289313316,150,130.97318196296692
614.6711628437042,151,131.50119876861572
3737.352443099022,1043,135.76669192314148
617.5168627500534,137,136.57987809181213
626.0539639592171,138,137.2269744873047
627.951099216938,138,138.07427883148193
623.2082619071007,128,138.9136414527893
622.2596960663795,135,139.58577799797058
623.2082636356354,137,140.23754119873047
634.5910664200783,137,140.91350317001343
622.2596963644028,131,141.70060420036316
619.413996398449,138,142.56703853607178
619.4139965772629,137,143.19349241256714
620.362563252449,136,143.80660796165466
