l,t
1000,4.143779516220093
2000,8.14027452468872
3000,12.076752662658691
4000,16.026692390441895
5000,20.218995094299316
6000,24.885623693466187
7000,29.380943536758423
8000,33.320711612701416
9000,37.60589098930359
10000,41.97606706619263
11000,46.426379442214966
12000,50.870975732803345
13000,55.73500871658325
14000,59.726340770721436
15000,63.82527279853821
16000,67.80852508544922
17000,71.78661179542542
18000,75.77910256385803
19000,79.77898073196411
20000,83.71938586235046
21000,88.18891024589539
22000,92.81941056251526
23000,97.03484797477722
24000,100.97615242004395
25000,104.87326502799988
26000,108.8203763961792
27000,112.75403952598572
28000,116.63452792167664
29000,120.45595932006836
30000,124.5242829322815
31000,128.86840796470642
32000,133.4876992702484
33000,137.7440845966339
34000,141.67297315597534
35000,145.71354031562805
36000,149.67766761779785
37000,153.65633416175842
38000,157.5905785560608
39000,162.07148051261902
40000,165.9814875125885
41000,169.84720730781555
42000,173.8026478290558
43000,177.75271558761597
44000,181.7414996623993
45000,185.62661290168762
46000,189.5714294910431
47000,193.50597500801086
48000,197.41327691078186
49000,201.38226294517517
50000,205.225266456604
51000,209.10353207588196
52000,213.0750823020935
53000,217.0120551586151
54000,221.00210428237915
55000,224.93459844589233
56000,228.81442785263062
57000,232.73722338676453
58000,236.5946078300476
59000,240.61866235733032
60000,244.5063738822937
61000,248.44130492210388
62000,252.9617817401886
63000,257.5765745639801
64000,261.82615876197815
65000,265.75629115104675
66000,269.67737102508545
67000,273.64193391799927
68000,277.63783621788025
69000,281.6138708591461
70000,285.4810597896576
71000,289.3436963558197
72000,293.36079454421997
73000,298.2436218261719
74000,302.22131514549255
75000,306.19233083724976
76000,310.1608097553253
77000,314.13182735443115
78000,318.0145936012268
79000,321.95364570617676
80000,325.83156657218933
81000,330.0177323818207
82000,334.28847575187683
83000,338.25411915779114
84000,342.20616388320923
85000,346.6338577270508
86000,351.0320143699646
87000,355.416433095932
88000,359.37937593460083
89000,363.39772367477417
90000,367.33609414100647
91000,371.34611082077026
92000,375.3442106246948
93000,379.2399470806122
94000,383.2118000984192
95000,388.1175150871277
96000,392.0719678401947
97000,396.2829689979553
98000,400.3691155910492
99000,404.3244380950928
100000,408.28947162628174
101000,412.22335743904114
102000,416.168292760849
103000,420.13132309913635
104000,424.4245545864105
105000,429.4463691711426
106000,433.36372590065
107000,437.3505277633667
108000,441.3504409790039
109000,445.986367225647
