l,t
1000,4.1564881801605225
2000,8.063339948654175
3000,12.12132978439331
4000,16.24065613746643
5000,20.210888624191284
6000,24.289005994796753
7000,28.58357572555542
8000,32.810136795043945
9000,37.23752188682556
10000,43.47709774971008
11000,49.657315254211426
12000,54.488842248916626
13000,59.15936064720154
14000,63.89576053619385
15000,68.57715892791748
16000,73.18735861778259
17000,77.71494245529175
18000,82.51651191711426
19000,87.77338099479675
20000,92.15763735771179
21000,96.99511075019836
22000,102.06544256210327
23000,106.83120942115784
24000,111.92091846466064
25000,117.5332260131836
26000,124.28973340988159
27000,129.87434101104736
28000,134.17962455749512
29000,138.4112741947174
30000,144.21586537361145
31000,148.8195559978485
32000,154.62098145484924
33000,160.31191611289978
34000,165.98398423194885
35000,170.88885974884033
36000,175.23236989974976
37000,179.56342148780823
38000,184.8009250164032
39000,189.44855642318726
40000,193.54953169822693
41000,198.0711545944214
42000,202.56409358978271
43000,206.77057576179504
44000,211.9311809539795
45000,218.04137992858887
46000,222.96417236328125
47000,227.1443841457367
48000,231.99420547485352
49000,236.47300052642822
50000,241.10702562332153
51000,245.60486769676208
52000,250.33381056785583
53000,254.81620717048645
54000,258.89985847473145
55000,263.4427561759949
56000,267.7465834617615
57000,272.19213795661926
58000,277.4432806968689
59000,282.58338832855225
60000,286.7316162586212
61000,290.958594083786
62000,295.1531217098236
63000,300.0326154232025
64000,304.36577105522156
65000,308.9193708896637
66000,313.05757904052734
67000,317.30520129203796
68000,321.88565373420715
69000,326.86523938179016
70000,331.86256289482117
71000,337.4698905944824
72000,341.91937589645386
73000,346.6778163909912
74000,351.4720380306244
75000,355.8021664619446
76000,360.0986592769623
77000,365.0737090110779
78000,369.24447774887085
79000,373.337548494339
80000,377.55679535865784
81000,382.0972442626953
82000,387.2036738395691
83000,391.3836600780487
84000,396.17906069755554
85000,400.8672399520874
86000,404.8447470664978
87000,409.5545518398285
88000,414.0956974029541
89000,419.1380298137665
90000,423.47269201278687
91000,427.2963936328888
92000,431.39308738708496
93000,435.3670656681061
94000,439.2300350666046
95000,443.67529010772705
96000,447.4627158641815
97000,451.69731187820435
98000,455.54928827285767
99000,459.22151803970337
100000,463.00096344947815
101000,467.2797532081604
102000,471.1753935813904
103000,474.9954972267151
104000,479.0822551250458
105000,482.86201763153076
106000,486.77602219581604
107000,490.77833342552185
108000,494.6351761817932
109000,498.53974533081055
110000,502.56364345550537
111000,507.252215385437
112000,511.2667820453644
113000,515.0513195991516
114000,518.7869477272034
115000,522.5322999954224
116000,526.2352466583252
117000,529.9725248813629
118000,534.0574572086334
119000,537.8189010620117
120000,541.6537272930145
121000,545.7802140712738
122000,551.105250120163
123000,554.9368283748627
124000,558.6964628696442
125000,562.4569475650787
126000,566.21950340271
127000,569.9592850208282
128000,573.9037508964539
129000,578.029904127121
130000,581.8073441982269
131000,585.5648641586304
132000,589.5448577404022
133000,593.3068301677704
134000,597.2285118103027
135000,600.9299280643463
136000,604.7101781368256
137000,608.4745922088623
138000,612.1988503932953
139000,616.2081291675568
140000,619.9588296413422
141000,623.7338666915894
142000,627.5196630954742
143000,631.8399317264557
144000,636.1012473106384
145000,639.8033411502838
146000,643.5047347545624
147000,647.4918150901794
148000,651.1432189941406
149000,654.9053189754486
150000,658.9629604816437
151000,662.7294416427612
152000,666.7262103557587
153000,670.9489471912384
154000,674.9998071193695
155000,679.4237794876099
156000,683.2223546504974
157000,687.0047588348389
158000,690.7376325130463
159000,694.7665181159973
160000,698.4827852249146
161000,702.2193155288696
162000,705.9052481651306
163000,709.6373171806335
164000,713.4039204120636
165000,717.1087968349457
166000,720.8259136676788
167000,724.5275630950928
168000,728.2758576869965
169000,732.0003974437714
170000,735.6845991611481
171000,739.4589266777039
172000,743.2237408161163
173000,746.9328899383545
174000,750.6614031791687
175000,755.0878639221191
176000,758.8059751987457
177000,762.9113531112671
178000,767.1092238426208
179000,770.8866958618164
180000,774.6560707092285
181000,778.3912146091461
182000,782.2029659748077
183000,785.9757521152496
184000,789.5560674667358
185000,793.2993369102478
186000,797.2531144618988
187000,801.9691627025604
188000,805.7699482440948
189000,809.4697082042694
190000,813.2991819381714
191000,816.9642341136932
192000,821.2947351932526
193000,825.0135726928711
194000,828.7844898700714
195000,832.4819242954254
196000,836.1388394832611
197000,840.9135468006134
198000,844.5984101295471
199000,848.3261675834656
200000,852.5055885314941
201000,856.2088119983673
202000,860.1756315231323
203000,863.9782824516296
204000,867.6918604373932
205000,871.4563341140747
206000,875.1357479095459
207000,879.1614382266998
208000,882.9418940544128
209000,886.9588096141815
210000,890.7040104866028
211000,894.3146109580994
212000,898.4918456077576
213000,902.7905986309052
214000,907.4267251491547
215000,911.5784602165222
216000,915.2126317024231
217000,918.8915088176727
218000,922.5428495407104
219000,926.2548341751099
220000,930.0021646022797
221000,933.7051351070404
222000,937.4686012268066
223000,941.1699950695038
224000,944.8790578842163
225000,948.567455291748
226000,952.2400140762329
227000,956.4642703533173
228000,960.2084679603577
229000,964.0035545825958
230000,967.706333398819
231000,971.4305980205536
232000,975.551352262497
233000,979.214989900589
234000,983.1845557689667
235000,986.9130647182465
236000,991.4425010681152
237000,995.2355751991272
238000,998.9648292064667
239000,1002.7132289409637
240000,1006.4522950649261
241000,1010.1222319602966
242000,1013.8941175937653
243000,1017.5747933387756
244000,1021.2473874092102
245000,1024.966718196869
246000,1028.6402778625488
247000,1032.3199093341827
248000,1036.1007375717163
249000,1039.904027223587
250000,1043.5283670425415
251000,1047.1788737773895
252000,1051.710401058197
253000,1055.807153224945
254000,1059.5275466442108
255000,1063.1456892490387
256000,1066.8463475704193
257000,1070.5480649471283
258000,1074.2631936073303
259000,1077.9640471935272
260000,1081.721462726593
261000,1085.4365804195404
262000,1089.2390801906586
263000,1093.023713350296
264000,1097.2687373161316
265000,1101.2169396877289
266000,1105.0722224712372
267000,1108.9758377075195
268000,1113.3837025165558
269000,1118.518393754959
270000,1123.35072183609
271000,1127.2781491279602
272000,1131.0898535251617
273000,1135.5789716243744
274000,1140.2433366775513
275000,1145.1682209968567
276000,1149.1737327575684
277000,1152.9049167633057
278000,1157.6407134532928
279000,1161.4172859191895
280000,1165.3841226100922
281000,1169.1678295135498
282000,1173.156528711319
283000,1176.9661042690277
284000,1180.7084913253784
285000,1184.6458489894867
286000,1188.9105167388916
287000,1193.0030510425568
288000,1197.0809621810913
