r,l,t
1417.8786835074425,3705,14.984212875366211
1417.8786385655403,3293,28.539069414138794
1417.8786636590958,983,32.696085929870605
577.7050594091415,4500,56.68789458274841
1417.8786519765854,4049,75.68021035194397
1417.8786600232124,611,78.35646343231201
681.1848251819611,4500,100.09959435462952
801.1116979122162,4500,125.02434587478638
1417.8786558508873,654,128.909282207489
1417.8786576390266,705,132.07042360305786
1816.7212421298027,4500,154.62251949310303
1417.87861007452,3572,173.38302421569824
1417.8786798119545,2383,184.4257378578186
969.69468075037,4500,204.48481607437134
664.0524078011513,4500,226.92027139663696
1417.8786351680756,2166,237.00444269180298
1417.8786653876305,592,239.76792764663696
1417.8786445856094,1836,248.31957387924194
1417.8786608576775,1478,254.9236843585968
1417.8786678910255,1965,263.3804888725281
1417.878666460514,2519,274.72182989120483
1006.7006986737251,4500,295.1953001022339
1417.878689289093,3749,312.06773924827576
1809.8683386445045,4500,333.4009208679199
1742.7092683911324,4500,354.73504734039307
1417.8786601424217,610,357.48413920402527
1417.87864869833,4259,375.9549505710602
1408.969796359539,2465,387.5984275341034
1417.878649175167,2504,399.14325046539307
1417.878676354885,793,402.4065182209015
1417.8786841630936,1290,408.15403413772583
1417.8786786794662,1756,416.28172516822815
1408.9698122143745,2464,426.884459733963
1417.8786705732346,845,430.1259469985962
1417.8786647319794,306,431.58496379852295
1417.8786661624908,2012,439.46555376052856
1417.8786684274673,3821,455.05054354667664
1771.4917439222336,4500,472.6534330844879
1417.8786640763283,286,473.7363088130951
1417.8786843419075,1447,479.4989197254181
1417.8786675930023,350,480.84052062034607
1417.8786578178406,2163,489.1630094051361
1417.878663778305,698,492.0324475765228
1417.8786628842354,372,493.46206426620483
1408.9697966575623,2906,505.4547505378723
1417.8786688446999,1458,511.5036175251007
1417.8786588907242,2062,519.267560005188
1417.8786773085594,3133,531.0553543567657
1796.1624016165733,4500,550.0817091464996
1417.878656744957,1035,554.1497843265533
1797.5330033898354,4500,571.0410957336426
751.0850452780724,4500,588.7247030735016
1417.8786662220955,306,589.9052531719208
1417.8786571621895,3543,603.3411247730255
1417.8786634206772,339,604.6194751262665
1417.8786529302597,2370,613.5902585983276
1770.80639898777,4500,631.2353405952454
1417.8786729574203,790,634.5389397144318
1417.878671348095,2919,645.6052658557892
1417.8786638975143,1951,653.0822768211365
1354.1460812687874,1442,658.7334945201874
1408.9697781801224,2540,668.7873513698578
1783.8270756602287,4500,686.9533712863922
1417.878665447235,1119,691.2208003997803
1408.9698153734207,1022,695.2599153518677
1417.8786743879318,1670,701.4546101093292
1417.8786777853966,3064,712.9078416824341
1417.8786708712578,4500,729.6627585887909
1344.5519290566444,1648,735.7479004859924
1417.878654897213,863,738.9815135002136
1417.878670334816,1118,743.1923599243164
1417.878674864769,1417,748.464560508728
1317.1400898694992,2964,760.4163341522217
1344.5519422888756,1648,767.23273229599
1808.4977895021439,4500,784.1565005779266
1343.1813237667084,1688,790.3637149333954
1417.878667294979,1649,796.7064354419708
1408.9698209166527,1776,804.4044630527496
1344.551933646202,1648,810.5494413375854
1292.4693991541862,4500,827.9905126094818
1401.431556880474,4500,845.7106516361237
1344.5519359707832,1648,852.2356035709381
1417.8786544799805,2739,862.7422034740448
1417.8786751627922,2265,871.1801862716675
1769.4358398914337,4500,888.5840530395508
693.5201413035393,4500,906.9581391811371
1417.878671169281,799,910.5920436382294
716.1349093317986,4500,927.1200113296509
1417.8786951899529,2286,935.6743593215942
1344.551940858364,2223,943.8949773311615
1701.5914552807808,4500,961.1797337532043
1417.878671169281,3594,974.9430272579193
1417.8786631822586,3707,989.7549328804016
1417.8786721229553,879,993.1023709774017
1417.8786506652832,3108,1004.7091102600098
1417.8786533474922,2457,1013.8432810306549
1417.8786702752113,2256,1022.1888744831085
1805.756553888321,4500,1038.9464495182037
1344.5519376397133,3502,1053.0176255702972
1417.8786661028862,3238,1064.9447131156921
1013.5536859035492,4500,1081.652874469757
1417.8786705732346,1105,1085.7794556617737
1417.8786788582802,824,1088.892264842987
1591.2587186694145,4500,1106.6520376205444
1417.8786540031433,3224,1121.688084602356
1417.87867218256,477,1123.8239028453827
1417.8786745667458,737,1126.7116544246674
1417.8786844015121,782,1129.7059643268585
1014.9242922663689,4500,1149.6879227161407
1417.878657400608,2969,1161.8497993946075
1417.8786934018135,4124,1177.8300695419312
1408.9698094725609,2269,1186.5744833946228
