l,t
1000,4.057539463043213
2000,8.04091763496399
3000,12.23196005821228
4000,16.32396364212036
5000,20.28684115409851
6000,24.39446210861206
7000,28.66353416442871
8000,32.796658754348755
9000,36.92194676399231
10000,41.055211305618286
11000,45.209282875061035
12000,49.38724660873413
13000,53.37323331832886
14000,57.27272582054138
15000,61.20695376396179
16000,65.13125276565552
17000,69.20815324783325
18000,73.29415798187256
19000,77.35265898704529
20000,81.2899329662323
21000,85.17868638038635
22000,89.92049503326416
23000,94.77723240852356
24000,100.0730881690979
25000,104.22351670265198
26000,108.13491010665894
27000,112.09809732437134
28000,116.18848538398743
29000,120.09508895874023
30000,124.06105661392212
31000,127.99732804298401
32000,131.94794988632202
33000,135.89695596694946
34000,140.3493459224701
35000,144.38753247261047
36000,148.3436312675476
37000,152.25449442863464
38000,156.38594698905945
39000,160.77779126167297
40000,164.81763648986816
41000,168.89484548568726
42000,173.01755285263062
43000,177.02878713607788
44000,180.93659806251526
45000,184.88652849197388
46000,188.83948349952698
47000,192.7578547000885
48000,196.68137979507446
49000,200.80798292160034
50000,204.76868844032288
51000,209.6481318473816
52000,214.3638949394226
53000,218.37160301208496
54000,222.2718698978424
55000,226.11845302581787
56000,230.26718139648438
57000,235.66151189804077
58000,239.6277253627777
59000,243.5506420135498
60000,247.54768681526184
61000,251.70321440696716
62000,255.7677698135376
63000,260.4452838897705
64000,264.67326164245605
65000,269.0563895702362
66000,273.50772762298584
67000,277.57775354385376
68000,281.64226603507996
69000,286.0836308002472
70000,290.0956561565399
71000,294.0995292663574
72000,298.058141708374
73000,301.98308062553406
74000,306.4160804748535
75000,310.9608612060547
76000,314.88662242889404
77000,318.8342161178589
78000,322.7695813179016
79000,326.8103165626526
80000,331.1278431415558
81000,335.06716537475586
82000,338.99570870399475
83000,342.9101643562317
84000,347.1304864883423
85000,351.2442047595978
86000,355.3650312423706
87000,359.3696234226227
88000,363.8298132419586
89000,367.7991919517517
90000,371.7516541481018
91000,375.7454836368561
92000,379.67407298088074
93000,384.7706847190857
94000,389.09777784347534
95000,393.9388597011566
96000,398.03589034080505
97000,402.3194308280945
98000,406.33442902565
99000,410.44555854797363
100000,414.53800892829895
101000,418.93051981925964
102000,422.85254311561584
103000,426.770751953125
104000,430.74617171287537
105000,435.7038986682892
106000,439.63061237335205
107000,443.73057103157043
108000,447.60371017456055
109000,451.96499013900757
110000,456.0698344707489
111000,461.0897991657257
112000,465.7186789512634
113000,469.58691143989563
114000,474.23615741729736
115000,478.74361991882324
116000,483.6232097148895
117000,490.06955337524414
118000,494.6386842727661
119000,500.010812997818
120000,505.1589858531952
121000,509.07309007644653
122000,513.5845398902893
123000,517.631952047348
124000,521.7006657123566
125000,525.5996944904327
126000,529.4794726371765
127000,533.3193225860596
128000,537.2782144546509
129000,541.4185144901276
130000,545.3576097488403
131000,549.2329106330872
132000,553.0997867584229
133000,557.0128481388092
134000,561.0270764827728
135000,565.1452798843384
136000,569.0859477519989
137000,573.0112338066101
138000,578.8118200302124
139000,584.308759689331
140000,588.4384112358093
141000,592.4303712844849
142000,596.4559373855591
143000,600.5115342140198
144000,604.6184623241425
145000,608.7622547149658
146000,612.9673025608063
147000,617.1249725818634
148000,621.2916188240051
149000,625.37624168396
150000,629.5603649616241
151000,633.7035109996796
152000,637.8812644481659
153000,642.0556325912476
154000,646.2314889431
155000,650.312920331955
156000,654.401683807373
157000,658.4481661319733
158000,662.4984214305878
159000,666.5546607971191
160000,670.7122616767883
161000,674.7801315784454
162000,678.8357672691345
163000,682.8695554733276
164000,686.8868353366852
165000,691.0298798084259
166000,695.1962242126465
167000,699.2880630493164
168000,703.4339072704315
169000,707.5162150859833
170000,711.5535776615143
171000,715.5303761959076
172000,719.5472626686096
173000,723.6838443279266
174000,727.7941954135895
175000,731.889577627182
176000,735.9306480884552
177000,739.9724259376526
178000,744.010365486145
179000,748.1244628429413
180000,752.1757588386536
