r,l,t
253.02297049760818,503,1.997830867767334
5.364418029785156e-07,289,3.1779537200927734
1.430511474609375e-06,271,4.295794725418091
252.34280532598495,503,6.279057741165161
2653.3403598070145,598,8.731624364852905
1.7285346984863281e-06,270,9.947104930877686
2564.238176703453,1093,14.433793783187866
2653.340356171131,978,18.311464309692383
1.1920928955078125e-07,279,19.401100635528564
2951.9346700906754,1452,25.3593590259552
2653.3403549790382,1183,30.38623023033142
43.53083521127701,807,33.69143533706665
1.5497207641601562e-06,269,34.82464575767517
2653.3403580784798,519,36.971745014190674
1.7285346984863281e-06,281,38.14372205734253
-1.1920928955078125e-07,274,39.27715015411377
1.3113021850585938e-06,544,41.50697159767151
2653.3403529524803,721,44.49242401123047
7.748603820800781e-07,834,47.98452687263489
1.6093254089355469e-06,269,49.10896849632263
3213.799839437008,4500,66.88830828666687
253.703138589859,852,70.37512254714966
3213.7998398542404,4500,88.62954258918762
7.748603820800781e-07,276,90.17837810516357
1.9073486328125e-06,267,91.35922861099243
3213.799839556217,4500,111.40026140213013
1.430511474609375e-06,272,112.55816221237183
-5.960464477539062e-07,281,113.70564150810242
3213.7998408675194,4500,131.46727633476257
249.62212318181992,503,133.47226905822754
2653.340370953083,2165,142.5392084121704
1.8477439880371094e-06,284,143.7119915485382
3213.7998394966125,4500,162.1012921333313
1.3709068298339844e-06,268,163.21198987960815
2925.4080640673637,798,166.3726577758789
1.8477439880371094e-06,267,167.50338697433472
252.34280270338058,503,169.56482124328613
-4.76837158203125e-07,275,170.7124514579773
1.2516975402832031e-06,267,171.82354998588562
2653.340356528759,684,174.56859493255615
3213.799839437008,4500,192.29422450065613
3199.5162847042084,4500,211.90442776679993
1.4901161193847656e-06,270,213.020583152771
3213.799836099148,4500,231.18287777900696
253.02297443151474,503,234.3299753665924
3213.7998391985893,4500,252.3747594356537
-5.364418029785156e-07,302,253.63270688056946
1.3113021850585938e-06,268,254.70090174674988
2639.736956477165,977,259.2561402320862
249.62212699651718,503,261.30770349502563
3039.67650359869,802,264.75332713127136
3213.7998306155205,1626,272.0572762489319
1.1324882507324219e-06,273,273.1694452762604
5.900859832763672e-06,808,276.44623374938965
2.980232238769531e-07,294,277.6687915325165
253.7031381726265,503,279.7194936275482
-2.384185791015625e-07,288,280.89195108413696
252.34280121326447,503,282.94472646713257
249.622123837471,503,285.3266682624817
3213.7998391985893,4500,303.221177816391
-1.7881393432617188e-07,555,305.9004170894623
3213.799839258194,4500,324.26677107810974
2638.3766322135925,802,327.51905822753906
3213.7998391985893,4500,345.80968379974365
2.6226043701171875e-06,291,346.9863119125366
-5.364418029785156e-07,279,348.1394703388214
1.1324882507324219e-06,290,349.3349914550781
1.7285346984863281e-06,266,350.442590713501
1.4901161193847656e-06,285,351.6316764354706
2637.696462750435,802,354.9040961265564
3213.799839258194,4500,373.28165769577026
3213.799839258194,4500,393.25042152404785
1.6093254089355469e-06,544,395.7350335121155
3039.67650783062,797,398.945228099823
3718.485449016094,1425,404.9334833621979
2403.038067340851,515,407.0250017642975
1.9073486328125e-06,282,408.189816236496
2.7418136596679688e-06,559,410.50116872787476
3.6954879760742188e-06,538,412.69682598114014
3213.799839437008,4500,430.9509334564209
1.1324882507324219e-06,272,432.0733540058136
3213.7998391389847,4500,451.2072057723999
252.3428031206131,503,453.3276994228363
3213.7998391389847,4500,473.3303210735321
1.3709068298339844e-06,288,474.70356702804565
252.34280145168304,503,477.0154151916504
2654.0205252170563,588,479.73987650871277
3039.6765080690384,797,483.6361172199249
1.7881393432617188e-06,283,485.74289989471436
2412.560441315174,460,488.6403532028198
253.70313531160355,503,491.27075576782227
1.3113021850585938e-06,276,492.47937965393066
3213.7998393177986,4500,513.6884672641754
252.34280282258987,503,515.7429144382477
252.34280282258987,503,517.7754464149475
3196.795607507229,4500,535.354026556015
249.622128367424,503,537.4086601734161
867.2158393263817,265,538.5429148674011
252.3428013920784,503,540.6110692024231
3213.7998428344727,4500,558.1498785018921
1.7881393432617188e-06,268,559.2683613300323
252.3428009748459,503,561.3035624027252
