l,t
1000,4.0584375858306885
2000,8.085540056228638
3000,12.192392826080322
4000,16.248894691467285
5000,20.348706483840942
6000,24.46831178665161
7000,28.558685541152954
8000,32.63663935661316
9000,36.705185651779175
10000,40.84357976913452
11000,44.90178442001343
12000,48.91265678405762
13000,52.972365617752075
14000,57.13801836967468
15000,61.35167193412781
16000,65.53928446769714
17000,69.68532800674438
18000,73.79492044448853
19000,77.85096073150635
20000,81.96578979492188
21000,86.06301546096802
22000,90.24279141426086
23000,94.42049217224121
24000,98.60974907875061
25000,102.72689771652222
26000,106.85434770584106
27000,110.96706008911133
28000,115.05972671508789
29000,119.13908958435059
30000,123.25366950035095
31000,127.11359643936157
32000,131.17240691184998
33000,135.293936252594
34000,139.34629106521606
35000,143.45739245414734
36000,147.56267380714417
37000,151.66992497444153
38000,155.8504478931427
39000,159.92736339569092
40000,164.02454257011414
41000,168.10539770126343
42000,172.21797609329224
43000,176.28789591789246
44000,180.3465805053711
45000,184.42496275901794
46000,188.48426270484924
47000,192.63627243041992
48000,196.72671604156494
49000,200.81685996055603
50000,204.90612530708313
51000,208.96658849716187
52000,213.03032994270325
53000,217.09273028373718
54000,221.21697163581848
55000,225.32964396476746
56000,229.41867208480835
57000,233.48702001571655
58000,237.57640504837036
59000,241.6613965034485
60000,245.7364525794983
61000,249.83253288269043
62000,253.88662242889404
63000,257.9818615913391
64000,262.09431982040405
65000,266.18138670921326
66000,270.3501627445221
67000,274.526709318161
68000,278.60274624824524
69000,282.6412875652313
70000,286.68946981430054
71000,290.7591714859009
72000,294.74817395210266
73000,298.82629466056824
74000,302.87154150009155
75000,306.9882650375366
76000,311.1237950325012
77000,315.2060134410858
78000,319.2957193851471
79000,323.40963673591614
80000,327.52715611457825
81000,331.6145181655884
82000,335.7182950973511
83000,339.8483166694641
84000,343.95380759239197
85000,348.05178022384644
86000,352.16712284088135
87000,356.22568678855896
88000,360.3179967403412
89000,364.2192471027374
90000,368.1250638961792
91000,372.14779925346375
92000,376.0959720611572
93000,380.2747769355774
94000,384.4900014400482
95000,388.6187677383423
96000,392.76237893104553
97000,396.88286447525024
98000,401.0429530143738
99000,405.15334486961365
100000,409.17383003234863
101000,413.2814495563507
102000,417.3900713920593
103000,421.43826389312744
104000,425.46402740478516
105000,429.5164816379547
106000,433.68429827690125
107000,437.77572989463806
108000,441.8944170475006
109000,445.9770541191101
110000,450.0581660270691
111000,454.09023332595825
112000,458.05132389068604
113000,461.96367168426514
114000,465.95027446746826
115000,470.0919680595398
116000,474.2330677509308
117000,478.33928418159485
118000,482.485107421875
119000,486.5892918109894
120000,490.7342863082886
121000,494.76539516448975
122000,498.90146493911743
123000,502.92005467414856
124000,506.98069643974304
125000,511.1136305332184
126000,515.1800136566162
127000,519.2941765785217
128000,523.2498633861542
129000,527.2613253593445
130000,531.3507037162781
131000,535.4177799224854
132000,539.4925851821899
133000,543.5018055438995
134000,547.6306600570679
135000,551.6683666706085
136000,555.7639012336731
137000,559.8730759620667
138000,563.9837512969971
139000,568.1118929386139
140000,572.2510447502136
141000,576.337340593338
142000,580.3279368877411
143000,584.4035921096802
144000,588.498542547226
145000,592.5125448703766
146000,596.4185135364532
147000,600.3243463039398
148000,604.4103765487671
149000,608.5511074066162
150000,612.6255259513855
151000,616.7089476585388
152000,620.7485659122467
153000,624.7316584587097
154000,628.6812381744385
155000,632.5018668174744
156000,636.5577638149261
157000,640.709566116333
158000,644.7334830760956
159000,648.8049237728119
160000,652.9522612094879
161000,657.0588476657867
162000,661.1154940128326
163000,665.0958280563354
164000,669.1061925888062
165000,673.1509876251221
166000,677.2244031429291
167000,681.2406649589539
168000,685.2320730686188
169000,689.346485376358
170000,693.4736678600311
171000,697.5801565647125
172000,701.6790809631348
173000,705.8320910930634
174000,710.0112102031708
175000,714.0636451244354
176000,718.1859996318817
177000,722.3039951324463
178000,726.3648464679718
179000,730.5170967578888
180000,734.5966241359711
181000,738.6573610305786
182000,742.7431454658508
183000,746.826009273529
184000,750.9745762348175
185000,755.0706107616425
186000,759.205881357193
187000,763.3697552680969
188000,767.4677152633667
189000,771.6118960380554
190000,775.7324833869934
191000,779.8508534431458
192000,783.9422271251678
193000,787.9988021850586
194000,792.0623462200165
195000,795.9626746177673
196000,799.9642179012299
197000,803.9330582618713
198000,808.0037214756012
199000,812.1459107398987
200000,816.2911672592163
201000,820.3764927387238
202000,824.428760766983
203000,828.457676410675
204000,832.4946000576019
205000,836.3905494213104
206000,840.322098493576
207000,844.2426762580872
208000,848.3521060943604
209000,852.4653236865997
210000,856.5810568332672
211000,860.6694312095642
212000,864.7720930576324
213000,868.9571013450623
214000,873.0175931453705
215000,877.1059663295746
216000,881.2051861286163
217000,885.3662457466125
218000,889.5718421936035
219000,893.7111098766327
220000,897.8299870491028
221000,901.8991243839264
222000,906.0298671722412
223000,910.0513961315155
224000,914.0584623813629
225000,918.1474072933197
226000,922.1549396514893
227000,926.2378582954407
228000,930.3335628509521
229000,934.4702615737915
230000,938.6208865642548
231000,942.7125413417816
232000,946.7753412723541
233000,950.9266395568848
234000,955.0602760314941
235000,959.1423709392548
236000,963.2170872688293
237000,967.317497253418
238000,971.3440704345703
239000,975.2884995937347
240000,979.1973066329956
241000,983.1268088817596
242000,987.2139706611633
243000,991.3602721691132
244000,995.5511565208435
245000,999.5851030349731
246000,1003.6616430282593
247000,1007.7615339756012
248000,1011.7266883850098
249000,1015.7182915210724
250000,1019.694712638855
251000,1023.5911300182343
252000,1027.7070693969727
253000,1031.8419833183289
254000,1036.035306930542
255000,1040.1004028320312
256000,1044.1853113174438
257000,1048.2736885547638
258000,1052.263298034668
259000,1056.1838266849518
260000,1060.1571309566498
261000,1064.158929824829
262000,1068.2150316238403
263000,1072.182935476303
264000,1076.2103238105774
265000,1080.3440504074097
266000,1084.3801798820496
267000,1088.3432710170746
268000,1092.2791368961334
269000,1096.1830608844757
270000,1100.1883881092072
271000,1104.1969528198242
272000,1108.076835155487
273000,1112.1305775642395
274000,1116.1970915794373
275000,1120.2130854129791
276000,1124.1647305488586
277000,1128.127234697342
278000,1132.0536241531372
279000,1136.1558375358582
280000,1140.2844557762146
281000,1144.3832490444183
282000,1148.4908909797668
283000,1152.636598110199
284000,1156.6720156669617
285000,1160.7170634269714
286000,1164.6754302978516
287000,1168.5829019546509
288000,1172.5605733394623
289000,1176.5831875801086
290000,1180.6332824230194
291000,1184.6770622730255
292000,1188.7504029273987
293000,1192.8843955993652
294000,1196.9858300685883
