l,t
1000,3.8307785987854004
2000,8.835222482681274
3000,12.943408012390137
4000,16.947014331817627
5000,20.776614904403687
6000,24.506858110427856
7000,28.646788120269775
8000,32.24958324432373
9000,36.06257677078247
10000,40.03417778015137
11000,43.66320776939392
12000,47.06636047363281
13000,51.01818585395813
14000,55.27798771858215
15000,58.8523473739624
16000,63.022196531295776
17000,66.68673372268677
18000,70.16599798202515
19000,73.59118843078613
20000,77.02903699874878
21000,80.4867172241211
22000,83.96051502227783
23000,87.79400062561035
24000,91.55314612388611
25000,95.04755568504333
26000,99.14291453361511
27000,102.79225039482117
28000,106.21993517875671
29000,109.60400748252869
30000,113.68042063713074
31000,118.2693932056427
32000,122.15514802932739
33000,125.76303362846375
34000,129.21571803092957
35000,132.76741886138916
36000,136.6680965423584
37000,140.346697807312
38000,143.82238268852234
39000,147.4141366481781
40000,150.91121220588684
41000,154.38576221466064
42000,157.9067678451538
43000,161.31121969223022
44000,164.7963478565216
45000,168.47135829925537
46000,172.18890857696533
47000,175.792888879776
48000,179.27637481689453
49000,182.7576925754547
50000,186.2425787448883
51000,189.68127965927124
52000,193.09712052345276
53000,196.69868636131287
54000,200.2590537071228
55000,203.79292702674866
56000,207.27854943275452
57000,210.71891140937805
58000,214.18676352500916
59000,217.8530411720276
60000,221.37993574142456
61000,224.7889325618744
62000,228.21210598945618
63000,231.85473012924194
64000,235.65561604499817
65000,239.26187348365784
66000,242.76960706710815
67000,246.20923447608948
68000,249.68190550804138
69000,253.47646141052246
70000,257.90668296813965
71000,261.59530568122864
72000,265.43217635154724
73000,269.0622978210449
74000,273.3259379863739
75000,277.0360162258148
76000,280.7947590351105
77000,284.84854388237
78000,288.82023668289185
79000,292.4092264175415
80000,296.05552554130554
81000,299.8220899105072
82000,303.8979744911194
83000,307.61990880966187
84000,311.6466760635376
85000,315.5482156276703
86000,319.29458022117615
87000,323.25818037986755
88000,327.15274143218994
89000,331.18757605552673
90000,335.0927014350891
91000,338.8788676261902
92000,343.02846932411194
93000,347.4800605773926
94000,352.3311822414398
95000,356.96730279922485
96000,364.3153500556946
97000,368.98072385787964
98000,373.56842398643494
99000,379.29210138320923
100000,385.2346396446228
101000,392.2829215526581
102000,398.4972286224365
103000,403.95496368408203
104000,409.8842477798462
105000,417.53514671325684
106000,425.66836857795715
107000,433.16108655929565
108000,441.1940014362335
109000,447.77989959716797
110000,454.0635850429535
111000,460.15919971466064
112000,464.9974915981293
113000,469.8839774131775
114000,474.91368865966797
115000,479.60035157203674
116000,484.41264605522156
117000,489.0786597728729
118000,493.6942095756531
119000,498.7231869697571
120000,503.4135375022888
121000,508.2406668663025
122000,512.7815647125244
123000,517.5402390956879
124000,521.9543633460999
125000,526.5964188575745
126000,531.4031221866608
127000,536.1326310634613
128000,540.6359910964966
129000,545.1905913352966
130000,549.8440804481506
131000,554.6264362335205
132000,559.2482850551605
133000,564.4666578769684
134000,568.9500617980957
135000,573.3497343063354
136000,577.8576664924622
137000,582.8673000335693
138000,587.2526483535767
139000,592.6479179859161
140000,596.7061307430267
141000,600.233898639679
142000,604.1946511268616
143000,607.8272824287415
144000,611.7308528423309
145000,615.7971913814545
146000,619.8681662082672
147000,623.9070978164673
148000,627.5216717720032
149000,631.7831995487213
150000,635.447065114975
151000,639.438390493393
152000,643.3891406059265
153000,647.2752161026001
154000,651.1275308132172
155000,654.9432060718536
156000,658.7571473121643
157000,662.5022344589233
158000,666.6740164756775
159000,670.8038885593414
160000,674.6560695171356
161000,678.2326104640961
162000,681.6934335231781
163000,685.4877982139587
164000,689.2486720085144
165000,692.6997082233429
166000,696.3899617195129
167000,700.1795744895935
168000,704.4154205322266
169000,707.9366283416748
170000,711.3515982627869
171000,714.7885138988495
172000,718.4334583282471
173000,722.20831823349
174000,725.7622611522675
175000,729.1571760177612
176000,732.8304560184479
177000,736.5542092323303
178000,740.3196933269501
179000,743.8157663345337
180000,747.2452645301819
181000,750.6772148609161
182000,754.1304051876068
183000,757.5421516895294
184000,761.4655423164368
185000,764.8567004203796
186000,768.5580096244812
187000,772.327629327774
188000,776.4874141216278
189000,780.4806332588196
190000,783.9216146469116
191000,787.373939037323
192000,790.7609360218048
193000,794.1109495162964
194000,797.48579621315
195000,801.0791819095612
196000,804.7459461688995
197000,808.1095957756042
198000,811.5273149013519
199000,814.9012529850006
200000,818.2930934429169
201000,821.8038206100464
202000,825.1823980808258
203000,828.5762639045715
204000,831.9536044597626
205000,835.6598026752472
206000,839.1236348152161
207000,842.6445059776306
208000,846.2988209724426
209000,849.8271155357361
210000,853.7658858299255
211000,857.3998126983643
212000,861.6030700206757
213000,865.0542721748352
214000,868.5171096324921
215000,871.9897909164429
216000,875.4080264568329
217000,879.0053608417511
218000,882.6858561038971
219000,886.1966240406036
220000,889.9105234146118
221000,893.3444483280182
222000,896.7655634880066
223000,900.4665315151215
224000,904.6512174606323
225000,908.3535182476044
226000,912.5960211753845
227000,916.035781621933
228000,919.7675225734711
229000,923.6704094409943
230000,927.1751511096954
231000,930.6380741596222
232000,934.3008625507355
233000,938.2749509811401
234000,942.0150318145752
235000,945.8799133300781
236000,949.7693977355957
237000,954.2393834590912
238000,957.7955138683319
239000,961.7994017601013
240000,965.2259953022003
241000,969.4886658191681
242000,974.8303456306458
243000,980.1636917591095
244000,985.1619582176208
245000,990.3489303588867
246000,995.4101974964142
247000,1001.090633392334
248000,1006.3671886920929
249000,1010.8655536174774
250000,1015.1462776660919
251000,1019.588853597641
252000,1024.3958792686462
253000,1029.0787048339844
254000,1033.6079630851746
255000,1037.6797032356262
256000,1041.5571689605713
257000,1045.234713792801
258000,1049.1770913600922
259000,1052.549655199051
260000,1056.4501900672913
261000,1061.1650545597076
262000,1065.5250842571259
263000,1070.0907657146454
264000,1074.5546877384186
265000,1078.476509809494
266000,1083.8504209518433
267000,1088.5725541114807
268000,1092.8778712749481
269000,1096.4304535388947
270000,1100.2159883975983
271000,1104.6236386299133
272000,1109.523059129715
273000,1113.972000360489
274000,1120.4351303577423
275000,1124.452476978302
276000,1128.7280378341675
277000,1133.065996170044
278000,1137.6871485710144
279000,1142.1702692508698
280000,1146.0789761543274
281000,1149.5033600330353
282000,1152.9695765972137
283000,1156.3783538341522
284000,1159.897208929062
285000,1163.2769026756287
286000,1166.6760618686676
287000,1170.0407831668854
288000,1173.435395002365
289000,1176.9617607593536
290000,1180.3962187767029
291000,1183.8006525039673
292000,1187.2294239997864
293000,1190.987206697464
294000,1194.5164263248444
