l,t
1000,4.44710373878479
2000,8.75954556465149
3000,13.151376962661743
4000,17.48935317993164
5000,21.77359652519226
6000,26.04899263381958
7000,30.32192897796631
8000,34.66791248321533
9000,39.021525621414185
10000,43.308422803878784
11000,47.5359742641449
12000,51.76048278808594
13000,56.01068043708801
14000,60.315656900405884
15000,64.60396671295166
16000,68.77947092056274
17000,72.99463319778442
18000,77.93930554389954
19000,82.78613090515137
20000,87.2276930809021
21000,91.55420446395874
22000,95.80268979072571
23000,100.03396368026733
24000,104.27598214149475
25000,108.54921174049377
26000,112.81538987159729
27000,117.04738306999207
28000,121.44284868240356
29000,125.77661418914795
30000,130.3263533115387
31000,134.65168285369873
32000,139.8503875732422
33000,144.3956847190857
34000,148.52828860282898
35000,152.71661806106567
36000,156.8753137588501
37000,161.1241340637207
38000,165.49092721939087
39000,169.98762345314026
40000,174.56087517738342
41000,179.0624234676361
42000,183.59683537483215
43000,188.15146684646606
44000,192.90375399589539
45000,197.49282574653625
46000,202.09769463539124
47000,206.88349723815918
48000,211.11919140815735
49000,216.55482053756714
50000,221.5564410686493
51000,226.50184607505798
52000,230.8595471382141
53000,235.21248650550842
54000,239.95820140838623
55000,244.9263219833374
56000,250.35332798957825
57000,255.65142226219177
58000,260.795782327652
59000,266.14522671699524
60000,270.80237865448
61000,275.1796736717224
62000,279.4358170032501
63000,283.6852321624756
64000,288.0266501903534
65000,292.220840215683
66000,296.44659757614136
67000,300.6589159965515
68000,304.82043051719666
69000,309.2066156864166
70000,313.3971552848816
71000,317.65501856803894
72000,321.3206958770752
73000,324.86694264411926
74000,328.34606170654297
75000,331.9823317527771
76000,335.37738156318665
77000,339.5590136051178
78000,343.122505903244
79000,346.69169306755066
80000,350.0715842247009
81000,353.5440366268158
82000,357.23291087150574
83000,361.06578063964844
84000,364.8155143260956
85000,368.2779812812805
86000,371.9436151981354
87000,375.49421644210815
88000,379.2600328922272
89000,382.72226190567017
90000,386.49275827407837
91000,390.1619803905487
92000,393.7111186981201
93000,397.44269132614136
94000,401.159588098526
95000,405.0958070755005
96000,408.5551211833954
97000,412.160683631897
98000,416.1552860736847
99000,420.2799742221832
100000,424.0606470108032
101000,428.1538317203522
102000,432.3299186229706
103000,436.5320782661438
104000,440.45577597618103
105000,444.06338715553284
106000,447.6175787448883
107000,451.11625719070435
108000,454.9491846561432
109000,459.21030378341675
110000,463.77779054641724
111000,468.0602607727051
112000,472.89675092697144
113000,477.883056640625
114000,482.6287178993225
115000,487.1479272842407
116000,492.0593385696411
117000,496.7057476043701
118000,501.29444217681885
119000,506.0832841396332
120000,510.5137720108032
121000,514.8900125026703
122000,519.9693186283112
123000,525.0873668193817
124000,528.9794209003448
125000,532.8566541671753
126000,536.7739610671997
127000,540.4182584285736
128000,544.0675482749939
129000,547.8009147644043
130000,551.5780823230743
131000,555.2098386287689
132000,558.8420331478119
133000,562.4325954914093
134000,566.0927133560181
135000,569.8013520240784
136000,573.4519617557526
137000,577.0806133747101
138000,580.6732766628265
139000,584.3727838993073
140000,588.0003023147583
141000,591.6074562072754
142000,595.2045874595642
143000,598.8706033229828
144000,602.6728496551514
145000,606.8318827152252
146000,610.6070673465729
147000,614.2434861660004
148000,617.9177718162537
149000,621.3722007274628
150000,624.9110095500946
151000,628.3862516880035
152000,631.8458194732666
153000,635.4073116779327
154000,638.8501131534576
155000,642.2925577163696
156000,645.6759858131409
157000,649.1608290672302
158000,652.6604113578796
159000,656.1094298362732
160000,659.5571441650391
161000,663.0325527191162
162000,666.9270079135895
163000,672.3831791877747
164000,677.2845940589905
165000,680.8994727134705
166000,684.5330345630646
167000,688.2006311416626
168000,691.8227295875549
169000,695.4214544296265
170000,699.0236473083496
171000,702.5786943435669
172000,706.3230967521667
173000,710.0863707065582
174000,713.7757225036621
175000,717.3979408740997
176000,721.0677173137665
177000,724.679548740387
178000,728.4921100139618
179000,732.2191228866577
180000,735.8130683898926
181000,739.3638610839844
182000,742.977945804596
183000,746.665274143219
184000,750.3435785770416
185000,753.9578869342804
186000,757.5343146324158
187000,761.135507106781
188000,765.01393699646
189000,768.7057383060455
190000,772.3825058937073
191000,776.0518887042999
192000,779.7748129367828
193000,783.5795793533325
194000,787.1969838142395
195000,790.8202974796295
196000,794.4480521678925
197000,798.0575120449066
198000,801.8291566371918
199000,805.6119029521942
200000,809.3271481990814
201000,813.0462925434113
202000,816.7075681686401
203000,820.4194014072418
204000,824.1374642848969
205000,827.7435462474823
206000,831.3233294487
207000,834.9380216598511
208000,838.6622321605682
209000,842.3015041351318
210000,845.907279253006
211000,849.5406782627106
212000,853.1655740737915
213000,856.8716292381287
214000,860.4531798362732
215000,864.0859196186066
216000,867.6992938518524
217000,871.4023661613464
218000,875.0478727817535
219000,878.6005389690399
220000,882.2057957649231
221000,885.8414959907532
222000,889.5824830532074
223000,893.2695157527924
224000,896.9810571670532
225000,900.8201413154602
226000,904.4929683208466
227000,908.1481676101685
228000,911.8412203788757
229000,915.6416563987732
230000,919.3380856513977
231000,922.9874444007874
232000,926.615681886673
233000,930.2425479888916
234000,933.9900410175323
235000,937.787415266037
236000,941.4456126689911
237000,945.0295119285583
238000,948.6184689998627
239000,952.0895466804504
240000,955.6879587173462
241000,959.188303232193
242000,962.7136552333832
243000,966.2404329776764
244000,969.7345151901245
245000,973.2700884342194
246000,976.8853385448456
247000,980.5142652988434
248000,984.0527260303497
249000,987.4815742969513
250000,990.9174818992615
251000,994.3357584476471
252000,997.8725216388702
253000,1001.4040191173553
254000,1004.9635572433472
255000,1009.4808955192566
256000,1014.9543735980988
257000,1019.3518025875092
258000,1023.119223356247
259000,1026.9495162963867
260000,1030.6900308132172
261000,1034.2728729248047
262000,1038.1205215454102
263000,1041.5358505249023
264000,1044.960575580597
265000,1048.4417881965637
266000,1052.0132710933685
267000,1055.474711894989
268000,1058.879605770111
269000,1062.3546996116638
270000,1065.8067955970764
271000,1069.4142155647278
272000,1072.9321112632751
273000,1076.4657859802246
274000,1079.9371180534363
275000,1083.4970223903656
276000,1086.955852985382
277000,1090.5500993728638
278000,1093.9701104164124
279000,1098.1036369800568
280000,1103.5898497104645
281000,1108.2550592422485
282000,1111.956387758255
283000,1115.6403164863586
284000,1119.3204205036163
285000,1122.9149634838104
286000,1126.7360136508942
287000,1130.4925467967987
288000,1134.3127875328064
289000,1138.4758853912354
290000,1143.0660049915314
291000,1147.439215183258
292000,1151.746353149414
293000,1155.6745805740356
294000,1159.6102101802826
295000,1163.4010741710663
296000,1167.3338272571564
297000,1171.4140691757202
298000,1175.3692789077759
299000,1178.9951679706573
300000,1182.5279579162598
301000,1186.1143822669983
302000,1190.0097324848175
303000,1193.8306097984314
304000,1197.4576919078827
