r,l,t
404.45619201660156,74,0.2934443950653076
418.05135703086853,69,0.6023170948028564
2254.531708717346,2207,10.30034065246582
2960.3474152088165,955,14.447879314422607
2525.302116394043,4500,33.75093722343445
2233.0060217380524,4500,53.04223561286926
2960.3474333286285,894,56.84612679481506
2960.347432613373,736,60.011595249176025
2581.9486379623413,3714,76.16780972480774
2006.4199330806732,2301,86.97738552093506
2519.637452840805,332,88.43220448493958
404.45618987083435,73,88.7561821937561
404.45619201660156,73,89.08516025543213
2960.347425699234,770,92.40281534194946
2285.1208856105804,4500,111.49461698532104
1919.1842937469482,1613,118.3690619468689
419.1842873096466,68,118.68537187576294
419.1842873096466,68,119.0044858455658
2960.347421169281,298,120.32938385009766
2925.226585149765,1988,129.06964683532715
2960.3474168777466,296,130.44122672080994
2598.9425847530365,252,131.5518193244934
2570.6193392276764,747,134.76234078407288
2960.3474204540253,735,138.59754180908203
2101.5860941410065,4500,157.9848928451538
2588.746220588684,1407,164.01518869400024
1947.5075523853302,1059,168.73719000816345
2003.0211446285248,532,171.17857384681702
405.5891230106354,73,171.55181336402893
2960.347418785095,299,172.9041759967804
2960.3474473953247,2510,184.22248363494873
2205.8156957626343,894,188.29578709602356
404.45618987083435,73,188.68809700012207
2525.3021178245544,4500,209.4682137966156
2960.3474218845367,297,210.70553994178772
2380.286996603012,244,211.7533664703369
2960.3474192619324,256,212.98160457611084
2960.347419977188,267,214.69689345359802
2960.3474168777466,267,216.18890953063965
2960.3474230766296,235,217.47561359405518
2960.347423315048,274,218.8796980381012
3105.3625168800354,4500,239.67287826538086
1995.0906257629395,1304,246.31416368484497
2417.6737048625946,2716,260.61357140541077
2960.3474147319794,1046,266.22910022735596
3105.3625168800354,4500,285.8720905780792
3105.362517595291,4500,304.8896834850311
2960.347415447235,288,306.1436107158661
2960.347419977188,264,307.32364773750305
3105.3625185489655,4500,325.08562898635864
3105.362517118454,4500,341.4834122657776
2960.3474159240723,282,342.5538866519928
2592.145004272461,267,343.5413954257965
3105.362516641617,4500,359.6303689479828
3105.362518310547,4500,376.083607673645
3105.362517595291,4500,392.30283522605896
3105.362516641617,4500,408.95362734794617
2455.060408115387,1230,413.3859136104584
404.45619201660156,73,413.68051981925964
2525.302098274231,4500,432.0096900463104
2498.1117737293243,264,432.99574995040894
2960.3474321365356,1166,437.8783962726593
2921.827780723572,227,438.8804018497467
2960.347412586212,270,439.90303134918213
3105.362517595291,4500,456.55929231643677
3105.362517118454,4500,477.05557513237
2960.347420692444,301,478.54240465164185
2960.3474204540253,215,479.5794813632965
3105.3625178337097,4500,500.60866951942444
2960.347418308258,276,501.9252059459686
3105.3625178337097,4500,523.2627696990967
2183.1570992469788,833,526.9235994815826
3105.362522125244,4500,543.9143705368042
2960.3474209308624,1471,549.4323573112488
404.45619201660156,73,549.7358255386353
3105.3625228405,4500,566.1502811908722
3105.362522125244,4500,582.558744430542
3105.3625128269196,4500,598.9273905754089
2960.3474431037903,1640,605.2791109085083
1997.3564889431,1272,610.289342880249
2063.0664570331573,377,611.7078309059143
2380.2870132923126,753,614.4942102432251
2271.5256712436676,562,616.5545785427094
2533.2326107025146,4500,632.2827866077423
3105.3625223636627,4500,647.7845253944397
2941.087602853775,693,650.2696218490601
3105.3625178337097,4500,665.8622117042542
2423.338367462158,414,668.1855571269989
3105.362517595291,4500,687.1344029903412
3105.3625178337097,4500,703.3967640399933
2960.3474309444427,1664,709.64763879776
1894.2598142623901,2178,717.6602957248688
2960.347418308258,2202,725.6899766921997
2592.1450023651123,395,727.1461050510406
408.9879140853882,73,727.4316956996918
2498.1117668151855,255,728.4314637184143
404.45619201660156,73,728.7251193523407
3105.3625185489655,4500,745.0023729801178
3105.362518310547,4500,761.3985407352448
2960.347425222397,648,763.8690667152405
2960.3474173545837,262,764.8959541320801
2218.27791595459,4500,781.5499742031097
419.1842873096466,69,781.8321003913879
419.1842873096466,68,782.1098754405975
3105.3625156879425,4500,798.4976921081543
2157.099678993225,1572,804.4069619178772
2218.2779257297516,4500,821.1276783943176
3105.3625185489655,4500,837.4810273647308
3105.3625164031982,4500,853.8111300468445
3105.362519979477,4500,870.1824476718903
3105.3625185489655,4500,886.5248229503632
2960.3474192619324,288,887.6012666225433
2000.755294561386,2826,898.123450756073
2606.873121023178,1874,905.1291403770447
2023.413881778717,2084,912.8015766143799
1997.3564915657043,526,914.8011853694916
2882.1752490997314,4500,931.2189013957977
2632.9304943084717,203,932.010461807251
2423.338363647461,404,933.5690505504608
2960.347425699234,704,936.2135300636292
2601.208449602127,271,937.2665929794312
3105.3625235557556,4500,953.3699443340302
2303.247779607773,4500,969.2512528896332
2598.9425892829895,1489,974.5196442604065
404.45618987083435,73,974.7965598106384
2631.797574520111,1257,979.3097929954529
2960.347417116165,299,980.4249076843262
3105.362536907196,4500,995.9849560260773
2960.347430229187,889,999.1864356994629
2244.3353338241577,829,1002.1294119358063
2150.3021035194397,623,1004.3258368968964
2636.3292961120605,751,1007.1241211891174
2638.5951652526855,2803,1020.7799406051636
2960.3474292755127,1205,1025.3178656101227
2960.347423315048,313,1026.534725189209
2624.999999523163,932,1030.0128574371338
3105.3625366687775,4500,1046.0866565704346
2187.6888134479523,833,1049.0123817920685
2960.3474204540253,343,1050.2455015182495
2287.386709213257,4500,1065.8245434761047
2636.329292535782,774,1068.5610024929047
2960.3474264144897,276,1069.6034762859344
2960.347417116165,1290,1074.1494669914246
2257.9305036067963,4500,1089.9561774730682
3105.3625206947327,4500,1109.5163667201996
2218.2779376506805,4500,1126.0143945217133
3105.3625180721283,4500,1144.2795836925507
2594.410867214203,253,1145.4865336418152
2298.7160115242004,4500,1163.7926242351532
3105.3625180721283,4500,1181.0614895820618
2046.0724983215332,455,1182.7277200222015
2960.3474221229553,280,1183.7379965782166
418.05135703086853,69,1184.0080239772797
