l,t
1000,3.748469114303589
2000,7.497764587402344
3000,11.174071788787842
4000,14.808996677398682
5000,18.515904426574707
6000,22.040320873260498
7000,25.61701989173889
8000,29.12291169166565
9000,32.72736859321594
10000,36.41179013252258
11000,39.97868585586548
12000,43.53015613555908
13000,47.07086181640625
14000,50.75462865829468
15000,54.31991982460022
16000,57.9177680015564
17000,61.48265218734741
18000,65.01580929756165
19000,68.78128719329834
20000,72.69308495521545
21000,77.8145010471344
22000,82.90111184120178
23000,86.72319221496582
24000,90.45469999313354
25000,94.12851309776306
26000,97.79191279411316
27000,101.42713284492493
28000,105.33768630027771
29000,109.12546825408936
30000,112.91949009895325
31000,116.58443403244019
32000,120.51055145263672
33000,124.25915861129761
34000,128.05168557167053
35000,131.7776083946228
36000,135.5248303413391
37000,139.3876669406891
38000,143.10769724845886
39000,146.78470182418823
40000,150.45346689224243
41000,154.31420874595642
42000,158.0753881931305
43000,161.89820170402527
44000,165.65427565574646
45000,169.40912294387817
46000,173.2923243045807
47000,177.07645440101624
48000,180.83687257766724
49000,184.58245587348938
50000,188.4573576450348
51000,192.18628811836243
52000,195.9765167236328
53000,199.72429180145264
54000,203.4846954345703
55000,207.3432493209839
56000,210.92876815795898
57000,214.5624921321869
58000,218.1958725452423
59000,222.04075288772583
60000,225.92816042900085
61000,229.6172468662262
62000,233.34119129180908
63000,237.08331990242004
64000,240.94277572631836
65000,244.7777717113495
66000,248.59661316871643
67000,252.40628004074097
68000,256.207190990448
69000,260.17439365386963
70000,263.85674500465393
71000,267.58746552467346
72000,271.2921373844147
73000,275.1214761734009
74000,278.8824152946472
75000,282.60847878456116
76000,286.43172097206116
77000,290.2605142593384
78000,294.1299343109131
79000,297.79502534866333
80000,301.5306432247162
81000,305.26394295692444
82000,309.1651747226715
83000,312.9038498401642
84000,316.6729373931885
85000,320.4273524284363
86000,324.20904517173767
87000,328.1109447479248
88000,331.8174593448639
89000,335.50822019577026
90000,339.1460461616516
91000,342.9240345954895
92000,346.6831679344177
93000,350.5353322029114
94000,354.36623644828796
95000,358.1420340538025
96000,362.0361051559448
97000,365.78903913497925
98000,369.58902192115784
99000,373.3410542011261
100000,377.24172806739807
101000,380.95842242240906
102000,384.6907331943512
103000,388.40081429481506
104000,392.0005431175232
105000,395.86631655693054
106000,399.5522208213806
107000,403.2476079463959
108000,406.87105345726013
109000,410.7221357822418
110000,414.477343082428
111000,418.246945142746
112000,422.02278232574463
113000,425.7892897129059
114000,429.69076108932495
115000,433.43468737602234
116000,437.1593954563141
117000,440.88273906707764
118000,444.57929706573486
119000,448.3025908470154
120000,452.04261779785156
121000,455.8525106906891
122000,459.5305051803589
123000,463.5094335079193
124000,467.08882784843445
125000,470.72710704803467
126000,474.3491175174713
127000,477.9676492214203
128000,481.8073904514313
129000,485.53192925453186
130000,489.40795707702637
131000,493.1912157535553
132000,497.0956480503082
133000,500.9126319885254
134000,504.5828809738159
135000,508.2057259082794
136000,511.91119480133057
137000,515.7151885032654
138000,519.357987165451
139000,523.0469853878021
140000,526.7575080394745
141000,530.3959109783173
142000,534.2790551185608
143000,538.0215759277344
144000,541.7804017066956
145000,545.5402426719666
146000,549.4398531913757
147000,553.1765413284302
148000,556.9566307067871
149000,560.7343325614929
150000,564.5177702903748
151000,568.4322276115417
152000,572.2729868888855
153000,576.1522681713104
154000,579.981855392456
155000,583.9025189876556
156000,587.6671209335327
157000,591.268810749054
158000,594.8525366783142
159000,598.5302317142487
160000,602.3450865745544
161000,605.9160244464874
162000,609.5540587902069
