r,l,t
1068.0267502069473,4500,16.594812393188477
889.8715524673462,4500,32.72828984260559
1075.2614606618881,4500,48.84667730331421
934.1842632293701,4500,65.01797270774841
889.8714406490326,4500,84.7183825969696
889.8714249134064,4500,101.42828726768494
889.8716033697128,4500,118.45333576202393
999.2968374490738,4500,135.52608060836792
889.8716037273407,4500,152.29149866104126
1021.0010215044022,4500,169.4102725982666
986.6360733509064,4500,186.47126150131226
1137.660979270935,4500,203.4859938621521
889.8714191913605,4500,219.99427461624146
673.7339203357697,830,223.29023838043213
1515.6753424406052,4500,240.21143102645874
6098.874760985374,4500,257.47314834594727
1143.0870032310486,4500,274.33735489845276
4649.216310501099,4500,291.5002245903015
999.2968323230743,4500,308.38897347450256
1093.3482859134674,4500,325.47355246543884
889.8715952634811,4500,342.15865683555603
4736.937320351601,4500,359.3913469314575
935.9929671287537,4500,376.4620187282562
889.8715132474899,4500,393.209344625473
1406.2500290870667,4500,409.93918442726135
1115.052461862564,4500,427.037232875824
889.8715399503708,4500,443.83728790283203
917.9061572551727,4500,460.75509238243103
653.8384281396866,285,461.9569499492645
889.8714953660965,4500,478.3636429309845
4649.216304540634,4500,495.47159910202026
638.4646159410477,546,497.69802379608154
889.8715523481369,4500,514.3273096084595
889.8715879917145,4500,530.9740946292877
906.1496629714966,4500,548.0334806442261
889.8715887069702,4500,565.1244423389435
4762.25886964798,4500,582.5398952960968
4971.161586284637,4500,599.1323328018188
1474.0755774974823,4500,615.6124036312103
925.1409014463425,4500,632.512980222702
917.9061539173126,4500,649.3497114181519
5104.099680066109,4500,666.3682222366333
889.871417760849,4500,682.9195699691772
888.9672594070435,4500,699.9232075214386
3781.0490572452545,4500,716.9002065658569
672.8295794725418,1167,721.4426474571228
1134.0436127185822,4500,738.354189157486
1371.8850648403168,4500,754.814998626709
1483.118985414505,4500,771.3935589790344
909.7670981884003,4500,788.3883321285248
1453.275725364685,4500,804.8588726520538
889.8714402914047,4500,821.1267721652985
1498.4927718639374,4500,837.6782851219177
889.8714383840561,4500,854.0464420318604
889.8715871572495,4500,870.7209150791168
948.6537228822708,4500,887.6840121746063
889.8714399337769,4500,903.944415807724
1144.8957172632217,4500,920.9762225151062
917.9061243534088,4500,937.9906194210052
889.871431350708,4500,954.404217004776
1134.0436018705368,4500,971.4654972553253
4378.818341493607,4500,988.9131643772125
4638.364307999611,4500,1005.9975471496582
933.2799705266953,4500,1023.0529794692993
4745.07651412487,4500,1039.798039674759
1132.2349262237549,4500,1056.740530014038
889.8714618682861,4500,1073.2597687244415
889.8715653419495,4500,1089.6716096401215
5067.021750926971,4500,1106.6067588329315
1092.4439105987549,4500,1123.2909574508667
889.8715962171555,4500,1140.0468220710754
1018.2878530025482,4500,1156.7234799861908
906.1497381925583,4500,1173.578959941864
889.871462225914,4500,1190.0952937602997
