l,t
1000,3.4288723468780518
2000,7.115428447723389
3000,10.65089225769043
4000,14.472310066223145
5000,18.00765371322632
6000,21.780535459518433
7000,25.203076362609863
8000,28.71060299873352
9000,32.49665355682373
10000,36.046337366104126
11000,39.892969608306885
12000,43.440248012542725
13000,47.23891806602478
14000,50.912439823150635
15000,54.544495820999146
16000,58.30471158027649
17000,61.90797448158264
18000,65.5593581199646
19000,69.03446650505066
20000,72.62655115127563
21000,76.30388188362122
22000,79.96447849273682
23000,83.56821942329407
24000,87.12840485572815
25000,90.58464455604553
26000,94.19466137886047
27000,97.63550853729248
28000,101.17201280593872
29000,104.70001459121704
30000,108.3029294013977
31000,112.04589080810547
32000,115.51163864135742
33000,119.1000874042511
34000,122.72383975982666
35000,126.4183657169342
36000,130.12548875808716
37000,133.88374090194702
38000,137.63639068603516
39000,141.1590609550476
40000,144.6514675617218
41000,148.1779079437256
42000,151.63112449645996
43000,155.20496249198914
44000,158.6925814151764
45000,162.28576350212097
46000,165.9667272567749
47000,169.40894985198975
48000,172.90276312828064
49000,176.47975277900696
50000,180.16518688201904
51000,183.6517369747162
52000,187.09310388565063
53000,190.65172410011292
54000,194.2464292049408
55000,197.79292011260986
56000,201.33058190345764
57000,204.92721366882324
58000,208.61963605880737
59000,212.2561228275299
60000,215.87524700164795
61000,219.51407480239868
62000,223.03871536254883
63000,226.77786350250244
64000,230.1715590953827
65000,233.59575247764587
66000,237.0651032924652
67000,240.58400177955627
68000,244.21549344062805
69000,247.74614691734314
70000,251.3171992301941
71000,255.02310276031494
72000,258.48109769821167
73000,261.92028284072876
74000,265.5774052143097
75000,269.3474714756012
76000,272.7926609516144
77000,276.4534206390381
78000,280.1524245738983
79000,283.637202501297
80000,287.2182981967926
81000,290.7460193634033
82000,294.336124420166
83000,297.97318482398987
84000,301.47505712509155
85000,305.016499042511
86000,308.52186822891235
87000,312.1062378883362
88000,315.7600305080414
89000,319.26384472846985
90000,323.0812017917633
91000,326.59022212028503
92000,330.0750572681427
93000,333.90666246414185
94000,337.4825987815857
95000,341.1825876235962
96000,344.58045291900635
97000,348.14221000671387
98000,351.80301117897034
99000,355.5870952606201
100000,359.18193459510803
101000,362.7040526866913
102000,366.26354932785034
103000,369.83232140541077
104000,373.59623670578003
105000,377.04005241394043
106000,380.5292363166809
107000,384.03338837623596
108000,387.73139905929565
109000,391.4539601802826
110000,395.155157327652
111000,398.91238808631897
112000,402.6121835708618
113000,406.04989528656006
114000,409.560574054718
115000,413.31148529052734
116000,416.916051864624
117000,420.5549283027649
118000,424.0505666732788
119000,427.56447291374207
120000,431.1026985645294
121000,434.76623487472534
122000,438.39119505882263
123000,442.14991641044617
124000,445.8243112564087
125000,449.5262453556061
126000,453.1974251270294
127000,456.78795552253723
128000,460.5235970020294
129000,464.1702563762665
130000,467.7212793827057
131000,471.30530166625977
132000,474.98233675956726
133000,478.74029064178467
134000,482.29736495018005
135000,485.870733499527
136000,489.61573100090027
137000,493.06941056251526
138000,496.61772084236145
139000,500.12035512924194
140000,503.67004013061523
141000,507.23698139190674
142000,510.6953706741333
143000,514.4320712089539
144000,518.0529961585999
145000,521.7511239051819
146000,525.4962074756622
147000,529.2302370071411
148000,532.9350054264069
149000,536.693540096283
150000,540.1804814338684
151000,543.6983416080475
152000,547.2140395641327
153000,550.6553807258606
154000,554.178070306778
155000,557.7466979026794
156000,561.0596401691437
157000,564.3478391170502
158000,567.6685724258423
159000,571.1242096424103
160000,574.7477285861969
161000,578.3414006233215
162000,581.7861771583557
163000,585.2498304843903
164000,588.6883525848389
165000,592.0977847576141
166000,595.5967819690704
167000,599.1814877986908
168000,602.7051041126251
169000,606.1266512870789
170000,609.6933701038361
171000,613.3211798667908
172000,617.004634141922
173000,620.6909890174866
174000,624.1238372325897
175000,627.5703480243683
176000,631.1569287776947
177000,634.7161724567413
178000,638.2694532871246
179000,641.7386889457703
180000,645.0529024600983
181000,648.4303183555603
182000,651.8868107795715
183000,655.6623756885529
184000,659.3267242908478
185000,662.9396548271179
186000,666.681702375412
