r,l,t
1934.9309368133545,1622,5.677330493927002
1949.5139151215553,2342,14.215604782104492
1875.8315237164497,1807,20.87552571296692
1899.6247794032097,3092,31.884005308151245
1980.9824624061584,1156,36.11498737335205
1980.9824677109718,884,39.429564476013184
1870.458802998066,1941,46.58477997779846
3651.11720263958,1193,51.038898944854736
1980.982436299324,1386,56.1115665435791
1871.226357102394,1748,62.56035876274109
1946.443808376789,2833,72.63875436782837
1800.6140411496162,1402,77.76838636398315
2393.9109742045403,4500,93.73808479309082
1980.982433438301,4493,109.79061985015869
1928.0232543945312,2836,119.95008730888367
2360.139849424362,4500,136.5788824558258
2120.6720162034035,4500,152.45088815689087
5026.522357046604,3573,165.18055033683777
1875.8315488696098,3583,177.94323587417603
1545.0281851291656,4500,193.7750437259674
1627.1533288955688,4500,210.00561213493347
1980.9824298620224,2024,217.35827493667603
1875.8314942717552,2221,225.43205380439758
1620.2456339001656,4500,241.05859088897705
1980.9823732972145,3648,254.14657282829285
1980.9825105071068,3084,264.9952142238617
1924.1855999231339,976,268.68826818466187
1819.8021627664566,2521,277.8102149963379
1871.2263641357422,2718,287.49691700935364
1800.6140366792679,3083,298.5523021221161
1915.742805659771,4460,314.3568756580353
1829.779991865158,1926,321.2659602165222
802.0637973546982,160,321.9492950439453
1951.0489021539688,3067,333.01998376846313
1878.134098470211,1656,339.11552572250366
1980.9824771881104,2941,349.5273275375366
1829.0124643445015,1182,353.8661456108093
1954.8865883946419,612,356.19418025016785
1442.947301864624,4500,372.1921410560608
1980.9824486374855,290,373.34021162986755
2395.446024656296,4500,389.4319443702698
1870.458792567253,2249,397.78737473487854
1931.8608364462852,1063,401.69718956947327
1870.4588421583176,2718,411.41257643699646
1980.9824349880219,1636,417.3666090965271
2338.64917242527,4500,433.3239052295685
2330.9739152789116,4500,450.02088737487793
3651.1172102093697,3110,461.3695342540741
2283.3873817920685,4500,477.7140884399414
1829.77995967865,3104,488.9319529533386
1654.7842290997505,4500,504.87139439582825
1980.9824165701866,2617,514.1536259651184
2407.7264528870583,4500,530.9134449958801
1825.9423555135727,1488,536.3977427482605
2119.9044937491417,4500,552.1761453151703
1871.2263573408127,4500,567.3797192573547
1980.982451558113,1656,573.2565755844116
719.9385967254639,1078,577.1325101852417
1632.5260370373726,4500,592.7053661346436
1611.0353271961212,4500,608.4619789123535
1980.9824678301811,1761,614.9176795482635
1928.7907477617264,1278,619.5754055976868
2036.2442321181297,4500,635.4682397842407
72.91490310430527,4500,650.8047966957092
1880.4366546869278,929,654.2905550003052
1896.5546731352806,1361,659.3559856414795
2424.612001657486,4500,676.0151059627533
1980.982445180416,3046,687.0158355236053
1870.4588134884834,1473,692.5003573894501
2369.35016977787,4500,709.3059182167053
75.2174591422081,4500,724.5350115299225
1875.831505715847,2328,733.0644726753235
2316.3909616470337,4500,749.3581879138947
2132.184941470623,4500,765.1092910766602
1924.9531158208847,1558,770.7611501216888
1829.779987514019,3294,782.6312737464905
1870.458820283413,1779,789.2011721134186
2316.3909603357315,4500,805.3291754722595
1947.2113491296768,1317,810.2252733707428
5026.52236700058,3369,822.1468224525452
1892.7170481085777,2123,829.7048041820526
1871.9938562512398,1299,834.459520816803
1800.6140429377556,2142,842.0160112380981
1880.4366359710693,1817,848.6061103343964
1800.6140059828758,2212,856.6740345954895
1800.6140415668488,2844,866.5770757198334
1869.6913165450096,3136,877.9090299606323
2215.8451407551765,4500,894.1097633838654
1800.614019393921,3607,907.1446650028229
1980.9824454188347,713,909.7325739860535
161.94781357049942,4500,924.8801562786102
1628.688354253769,4500,940.6173634529114
2345.556908249855,4500,957.1086146831512
1980.9824452400208,581,959.2888693809509
1654.7842434048653,4500,975.3481402397156
1608.732756972313,4500,991.0402371883392
1980.9824364185333,3307,1003.0434813499451
1921.8829857110977,1725,1009.3612585067749
1980.9824462532997,2099,1016.8701550960541
1654.7842081189156,4500,1032.7519154548645
1877.3664988279343,1584,1038.6123898029327
1954.1190568208694,2803,1048.7120552062988
1470.5782147049904,4500,1063.8496885299683
1891.9495549798012,2007,1070.7606890201569
1951.0489926338196,1352,1075.544638633728
1822.8722692131996,1829,1082.508950471878
1571.891508102417,4500,1099.393690109253
1551.1683787107468,4500,1115.5811779499054
1980.9824637770653,1559,1123.8811767101288
1875.8314718604088,2400,1132.7133629322052
1640.201273739338,4500,1148.9288363456726
3.635883331298828e-06,4500,1164.312462091446
1948.7463824152946,783,1167.1797242164612
1462.1354588270187,4500,1182.90749502182
1654.7842329740524,4500,1198.8709607124329
