l,t
1000,4.024351358413696
2000,7.7834038734436035
3000,11.43602967262268
4000,15.645161867141724
5000,19.35887122154236
6000,22.976419925689697
7000,26.911896467208862
8000,31.07293701171875
9000,34.84750485420227
10000,38.9801664352417
11000,42.73545837402344
12000,46.63996911048889
13000,50.41526556015015
14000,54.491984605789185
15000,58.69499158859253
16000,62.79876089096069
17000,66.63410902023315
18000,70.58956599235535
19000,74.5535180568695
20000,78.41704273223877
21000,82.21040487289429
22000,86.73758506774902
23000,90.86063766479492
24000,94.62346363067627
25000,98.39947724342346
26000,102.90378332138062
27000,106.8633770942688
28000,111.23997282981873
29000,114.82338356971741
30000,119.07215857505798
31000,122.75868701934814
32000,126.67018914222717
33000,130.46898579597473
34000,134.19472289085388
35000,137.88369822502136
36000,141.53271555900574
37000,145.35849976539612
38000,148.93616795539856
39000,152.51198959350586
40000,156.133403301239
41000,159.7397882938385
42000,163.5428705215454
43000,167.138014793396
44000,170.75007724761963
45000,174.33821153640747
46000,178.05944156646729
47000,181.60694909095764
48000,185.22148418426514
49000,188.74330377578735
50000,194.08143258094788
51000,199.64132690429688
52000,203.36059069633484
53000,207.08213591575623
54000,210.7141716480255
55000,214.3124976158142
56000,217.93358445167542
57000,221.70986151695251
58000,225.40320563316345
59000,229.09289121627808
60000,233.00698328018188
61000,236.67245602607727
62000,240.29954624176025
63000,243.86129927635193
64000,247.49564361572266
65000,251.24891448020935
66000,254.91021847724915
67000,258.5711545944214
68000,262.21143198013306
69000,265.97748470306396
70000,269.69019865989685
71000,273.4092857837677
72000,277.00087308883667
73000,280.62712264060974
74000,284.4972357749939
75000,288.17745184898376
76000,291.90014910697937
77000,295.61148023605347
78000,299.44928073883057
79000,303.1659209728241
80000,306.8250002861023
81000,310.44492077827454
82000,314.0696442127228
83000,317.8464820384979
84000,321.5669033527374
85000,325.27223205566406
86000,328.865109205246
87000,332.64387941360474
88000,336.3848023414612
89000,340.1375970840454
90000,343.86852288246155
91000,347.51150918006897
92000,351.40747475624084
93000,355.0510857105255
94000,358.7450351715088
95000,362.5249786376953
96000,366.1978313922882
97000,369.914865732193
98000,373.57853055000305
99000,377.3538496494293
100000,381.0297782421112
101000,384.7195301055908
102000,388.2909355163574
103000,391.8980655670166
104000,395.7687997817993
105000,399.42397451400757
106000,403.07940554618835
107000,406.62266778945923
108000,410.28027510643005
109000,414.0550682544708
110000,417.69541692733765
111000,421.2729859352112
112000,424.789927482605
113000,428.472537279129
114000,432.20133686065674
115000,435.9175662994385
116000,439.5604102611542
117000,443.04527163505554
118000,446.81817173957825
119000,450.5669860839844
120000,454.4361689090729
121000,458.1471977233887
122000,461.78216099739075
123000,465.39609146118164
124000,469.0705192089081
125000,472.6868751049042
126000,476.42685437202454
127000,479.9921875
128000,483.53077268600464
129000,487.36476254463196
130000,491.02606534957886
131000,494.69260239601135
132000,498.28687357902527
133000,501.9284420013428
134000,505.6643924713135
135000,509.3951439857483
136000,513.1184711456299
137000,516.8409171104431
138000,520.683064699173
139000,524.3697099685669
140000,528.1228263378143
141000,531.7240788936615
142000,535.285975933075
143000,539.0160822868347
144000,542.7292423248291
145000,546.327451467514
146000,549.9484398365021
147000,553.6968295574188
148000,557.4175252914429
149000,561.0867192745209
150000,564.823584318161
151000,568.5527336597443
152000,572.2576687335968
153000,575.9920928478241
154000,579.6752457618713
155000,583.4336512088776
156000,587.2218682765961
157000,590.8656280040741
158000,594.6273279190063
159000,598.3632507324219
160000,602.0258371829987
161000,605.8081612586975
162000,609.5610122680664
163000,613.358656167984
164000,617.0102105140686
165000,620.696355342865
166000,624.3049552440643
167000,627.8498797416687
168000,631.5543162822723
169000,635.2216234207153
170000,638.8467512130737
171000,642.4464678764343
172000,646.2607369422913
173000,650.0266544818878
174000,653.7206194400787
175000,657.3060054779053
176000,660.8472876548767
177000,664.5890555381775
178000,668.291734457016
179000,671.9906997680664
180000,675.7140595912933
181000,679.4274864196777
182000,683.1705644130707
183000,686.791702747345
184000,690.4394452571869
185000,693.9769597053528
186000,697.6337645053864
187000,701.2220504283905
188000,704.9253921508789
189000,708.6558158397675
190000,712.3122799396515
191000,716.2283844947815
192000,719.9673302173615
193000,723.6147222518921
194000,727.1535980701447
195000,730.8810036182404
196000,734.5338006019592
197000,738.2306690216064
198000,741.8915908336639
199000,745.4198908805847
200000,749.1214978694916
201000,752.7748386859894
202000,756.3808624744415
203000,759.9742302894592
204000,763.6335604190826
205000,767.3634805679321
206000,771.0530021190643
207000,774.6426694393158
208000,778.2288477420807
209000,781.9883835315704
210000,785.7035489082336
211000,789.4045584201813
212000,793.0432724952698
213000,796.7500813007355
214000,800.5237262248993
215000,804.0722744464874
216000,807.5025572776794
217000,810.9672560691833
218000,814.6531538963318
219000,818.3233528137207
220000,822.0201845169067
221000,825.6763651371002
222000,829.3518507480621
223000,833.4384570121765
224000,837.1498045921326
225000,840.7884016036987
226000,844.4998738765717
227000,848.2152004241943
228000,852.0944550037384
229000,855.763325214386
230000,859.427859544754
231000,863.1367411613464
232000,866.8695747852325
233000,870.3556697368622
234000,873.8850803375244
235000,877.4487323760986
236000,881.0452320575714
237000,884.7610487937927
238000,888.421035528183
239000,892.0538494586945
240000,895.6456305980682
241000,899.3723537921906
242000,902.9827032089233
243000,906.448326587677
244000,909.9853148460388
245000,913.5850930213928
246000,917.3986899852753
247000,920.9917438030243
248000,924.571409702301
249000,928.1810877323151
250000,931.7341620922089
251000,935.4638044834137
252000,939.1272566318512
253000,942.7986514568329
254000,946.502503156662
255000,950.2495853900909
256000,953.8847489356995
257000,957.578225851059
258000,961.2075581550598
259000,964.7827024459839
260000,968.5621266365051
261000,972.240620136261
262000,975.8386447429657
263000,979.4933128356934
264000,983.1977028846741
265000,986.6663060188293
266000,990.16730427742
267000,993.6017632484436
268000,997.086612701416
269000,1000.7376527786255
270000,1004.4247026443481
271000,1008.1028845310211
272000,1011.7998774051666
273000,1015.7665967941284
274000,1019.3152189254761
275000,1022.8404369354248
276000,1026.4202709197998
277000,1030.055055141449
278000,1033.7936747074127
279000,1037.3697564601898
280000,1040.9984331130981
281000,1044.638608455658
282000,1048.344652414322
283000,1051.8457968235016
284000,1055.4134271144867
285000,1058.9828476905823
286000,1062.572580575943
287000,1066.30113530159
288000,1069.9316716194153
289000,1073.4784507751465
290000,1077.0528342723846
291000,1080.7619459629059
292000,1084.3708145618439
293000,1087.9475767612457
294000,1091.518944978714
295000,1095.1004297733307
296000,1098.8799543380737
297000,1102.5262761116028
298000,1106.2171726226807
299000,1109.859620809555
300000,1113.6461074352264
301000,1117.5725874900818
302000,1121.1876182556152
303000,1124.7432007789612
304000,1128.356384754181
305000,1132.100641965866
306000,1135.736475944519
307000,1139.3308069705963
308000,1142.877516746521
309000,1146.4577627182007
310000,1150.1056475639343
311000,1153.7311928272247
312000,1157.4389941692352
313000,1161.1434421539307
314000,1164.8689591884613
315000,1168.6768679618835
316000,1172.4298689365387
317000,1176.156102180481
318000,1179.6913917064667
319000,1183.1324260234833
320000,1186.6020708084106
321000,1190.1934566497803
322000,1193.7713124752045
323000,1197.450896024704
