r,l,t
880.851048707962,133,0.4526386260986328
2686.808493375778,4500,17.98295569419861
2686.8084973096848,4500,35.32111954689026
330.212762594223,70,35.74156832695007
1161.7021148204803,206,36.588640451431274
2686.8084837198257,4500,54.051889181137085
2686.808490395546,4500,72.21236991882324
2278.297877073288,4500,90.40648221969604
2686.80850148201,4500,108.76140213012695
2686.8085020780563,4500,126.2212176322937
2686.8084815740585,4500,143.05349922180176
927.6595628261566,417,144.61206769943237
2686.808474779129,4500,160.92025637626648
331.06382620334625,69,161.2459807395935
330.212762594223,70,161.57506322860718
2686.8084930181503,4500,177.81133103370667
2686.808498978615,4500,196.6895935535431
2686.808506846428,4500,214.07538604736328
2686.8084901571274,4500,230.86383700370789
359.9999997615814,77,231.23677110671997
2686.8085030317307,4500,247.63861846923828
2214.4680804014206,4500,264.19135332107544
2686.80850148201,4500,280.7807719707489
359.9999997615814,77,281.1634666919708
2159.9999508857727,4500,297.9290599822998
2686.8085078001022,4500,314.4970703125
2686.8085010051727,4500,331.0811195373535
882.5531777143478,134,331.63959670066833
2305.5319024324417,4500,348.4500823020935
330.2127627134323,69,348.8149194717407
2533.616985797882,3612,362.1892161369324
2577.8723059892654,3618,375.646089553833
2686.808499097824,4500,392.080931186676
880.851048707962,133,392.67036986351013
2686.808498263359,4500,409.0279788970947
1253.6170185804367,478,410.88228273391724
884.255307674408,134,411.47849798202515
2686.808495759964,4500,427.65185928344727
2686.8084992170334,4500,444.1006579399109
2587.2340277433395,2017,451.72909712791443
1165.1063655614853,119,452.2577095031738
2686.808488726616,4500,468.69978523254395
2686.8085017204285,4500,485.10703921318054
330.2127627134323,69,485.44912791252136
2686.8084992170334,4500,501.9374213218689
2556.5957151651382,4265,517.8110220432281
852.7659428119659,395,519.3415989875793
2686.808512568474,4500,535.8451545238495
2686.8084864616394,4500,552.3454585075378
2686.8084605932236,4500,569.1436138153076
2491.0637884140015,4500,585.8870260715485
2302.1276582479477,4500,602.6300964355469
2556.595703482628,2836,613.2333297729492
2686.8084985017776,4500,629.6520628929138
2686.8084856271744,4500,646.138854265213
330.212762594223,70,646.4893548488617
2686.8084992170334,4500,662.8863527774811
2686.8084597587585,4500,679.6884210109711
2686.8084815740585,4500,695.9655606746674
2686.8084847927094,4500,712.5582642555237
884.2553055286407,100,713.0366756916046
2686.808501958847,4500,729.5844113826752
2686.8084956407547,4500,745.9788281917572
2686.8084968328476,4500,762.3301575183868
2686.808500289917,4500,778.8184752464294
2686.8084980249405,4500,795.4474029541016
2741.2765774726868,572,797.661388874054
331.06382620334625,69,798.0071198940277
3030.638258457184,4500,813.8447549343109
2120.8510479927063,4500,830.4848935604095
329.36170053482056,74,830.8800776004791
885.1063692569733,130,831.4396119117737
323.4042556285858,75,831.810111284256
2650.2127344608307,2747,841.9693291187286
2606.808489561081,1988,849.431262254715
807.6595690250397,120,849.968230009079
2686.808458328247,4500,866.538812160492
2370.212729692459,4500,882.6328177452087
2686.808471918106,4500,899.062262058258
2793.1914492845535,4500,915.1791069507599
2741.27657353878,368,916.6311638355255
2563.404223203659,4500,932.8335030078888
2686.8084656000137,4500,949.4578993320465
2686.8084565401077,4500,965.963543176651
2686.808475136757,4500,982.4059708118439
2921.7020872831345,4500,998.1784794330597
2686.8084708452225,4500,1014.8490052223206
330.212762594223,70,1015.2012765407562
2546.3829461336136,4500,1031.4192702770233
2560.8510313034058,4500,1047.8097202777863
2805.1063413619995,4500,1063.923287153244
2804.255279302597,4500,1080.2221574783325
2827.2340035438538,4500,1096.4703221321106
330.212762594223,70,1096.8154690265656
2686.8084650039673,4500,1113.3695936203003
330.2127627134323,69,1113.7104332447052
852.7659485340118,402,1115.2916667461395
330.2127627134323,69,1115.6338047981262
2563.404223203659,4500,1131.9420623779297
331.91489028930664,70,1132.303828716278
2804.2552790641785,4500,1148.4260621070862
2686.808496952057,4500,1165.0910141468048
807.6595649719238,114,1165.5924093723297
2741.276598572731,1505,1171.122239112854
808.5106338262558,152,1171.7536058425903
3055.319118618965,4500,1187.736610174179
