l,t
1000,6.75936222076416
2000,13.60169243812561
3000,20.367454290390015
4000,27.1659996509552
5000,47.460472106933594
6000,54.195451974868774
7000,60.89952492713928
8000,67.65849208831787
9000,87.71296977996826
10000,94.58414006233215
11000,101.43387961387634
12000,108.29130458831787
13000,128.575430393219
14000,135.42975330352783
15000,142.2310380935669
16000,149.0804693698883
17000,169.14209389686584
18000,176.0207109451294
19000,182.87148237228394
20000,189.70604538917542
21000,209.81196928024292
22000,216.6685712337494
23000,223.47765159606934
24000,230.32388043403625
25000,250.43778324127197
26000,257.28936314582825
27000,264.14363193511963
28000,270.98453640937805
29000,291.0836372375488
30000,297.9530427455902
31000,304.7873890399933
32000,311.5649371147156
33000,331.7183737754822
34000,338.5765678882599
35000,345.4141147136688
36000,352.2589600086212
37000,372.50183510780334
38000,379.1946585178375
39000,386.08571195602417
40000,392.877037525177
41000,412.9286153316498
42000,419.71804904937744
43000,426.5656170845032
44000,433.3622531890869
45000,440.23120307922363
46000,460.31929540634155
47000,467.1929702758789
48000,474.04376220703125
49000,480.93491554260254
50000,501.26268339157104
51000,508.15437865257263
52000,514.9733254909515
53000,521.8165781497955
54000,541.9600701332092
55000,548.7975387573242
56000,555.7483975887299
57000,562.6329934597015
58000,582.765631198883
59000,589.6314795017242
60000,596.4506969451904
61000,603.2629432678223
62000,623.5153610706329
63000,630.3799374103546
64000,637.2072405815125
65000,644.0630850791931
66000,664.2517418861389
67000,671.0889182090759
68000,678.0020005702972
69000,684.7834656238556
70000,704.9337933063507
71000,711.7920877933502
72000,718.6827549934387
73000,725.5634665489197
74000,745.6982398033142
75000,752.4125351905823
76000,759.0914103984833
77000,765.7011909484863
78000,785.6968295574188
79000,792.5399508476257
80000,799.4049954414368
81000,806.3173265457153
82000,826.4022269248962
83000,833.0764784812927
84000,839.7571296691895
85000,846.3567559719086
86000,852.9470236301422
87000,873.1048800945282
88000,880.0462102890015
89000,886.844206571579
90000,893.6115689277649
91000,913.7968657016754
92000,920.6861214637756
93000,927.5205721855164
94000,934.3859190940857
95000,954.5635333061218
96000,961.3911743164062
97000,968.22576379776
98000,975.047776222229
99000,995.2052719593048
100000,1001.9851498603821
101000,1008.8934171199799
102000,1015.7232844829559
103000,1035.9225585460663
104000,1042.7857089042664
105000,1049.447431087494
106000,1056.15953373909
107000,1076.27645778656
108000,1083.161244392395
109000,1089.9906599521637
110000,1096.8458960056305
111000,1116.942794084549
112000,1123.7198164463043
113000,1130.557499408722
114000,1137.3570172786713
115000,1157.5361766815186
116000,1164.4273838996887
117000,1171.2350721359253
118000,1178.016390323639
