r,l,t
972.0588059425354,4500,44.030192613601685
533.0882153511047,4500,87.7141010761261
1479.411738872528,1143,95.55216574668884
1411.7646803855896,2445,125.70300245285034
1005.1470425128937,4500,169.75934076309204
1494.117616891861,1414,179.4418969154358
1006.6176354885101,4500,223.49167561531067
1419.8529045581818,1552,234.047607421875
1453.6764423847198,886,253.4597442150116
316.91175723075867,627,257.75223112106323
1377.941153049469,459,260.9180254936218
1483.0882098674774,1436,270.683007478714
1497.7940890789032,922,290.25577306747437
411.029403924942,359,292.7548620700836
1479.4117460250854,1299,301.6252634525299
1413.2352681159973,604,305.7614085674286
1748.529379606247,1693,330.57144021987915
1761.7646634578705,2445,347.36613869667053
1482.3529207706451,863,353.2691419124603
1480.882334470749,499,356.68467926979065
1621.3235042095184,860,375.85737204551697
439.70587491989136,627,380.078004360199
1479.411744594574,597,384.19459080696106
1483.8235018253326,529,387.8144986629486
1608.8234975337982,925,394.10901618003845
996.3235151767731,4500,438.0317530632019
1499.2646799087524,544,455.015634059906
383.8235218524933,548,458.76257133483887
1591.911738872528,951,465.2896168231964
1761.7646725177765,776,470.62447810173035
1765.44114279747,539,474.3418002128601
1479.4117379188538,804,479.8766312599182
1431.6176223754883,441,496.3180458545685
338.9705801010132,354,498.7983572483063
1723.529377937317,746,503.8862588405609
1421.3235032558441,340,506.2321717739105
1227.9411597251892,4500,550.3463068008423
1496.3235018253326,745,555.5239567756653
1727.941150188446,695,560.3254163265228
1458.0882086753845,507,563.7981812953949
1619.117625951767,4388,620.4522171020508
411.0294044017792,208,621.9261193275452
1504.4117414951324,422,624.8122861385345
1480.1470308303833,512,628.320454120636
433.0882270336151,604,632.4175274372101
402.9411678314209,277,634.3294174671173
418.38234424591064,432,637.3159799575806
1728.6764452457428,1061,644.5991804599762
1599.9999783039093,771,663.1831748485565
1417.6470293998718,529,666.802953004837
1440.4411499500275,574,670.7333345413208
1421.3235087394714,2251,686.1918196678162
1635.2940917015076,1020,706.4351441860199
1485.2940888404846,560,710.2931370735168
1487.4999749660492,580,714.2449350357056
445.58822870254517,554,718.0761539936066
1479.4117407798767,808,723.6621491909027
426.47058510780334,595,727.7169277667999
2791.911712408066,1882,753.7459573745728
1380.8823268413544,392,756.371821641922
1594.1176176071167,866,762.1057980060577
1457.3529133796692,1007,768.7821047306061
1764.705846786499,923,788.3470771312714
1727.9411551952362,733,793.3537492752075
1769.852918624878,1277,802.1353793144226
1624.2646760940552,426,805.0914835929871
1603.6764421463013,859,810.9845898151398
403.67645955085754,545,827.9369959831238
1491.911738872528,662,832.3288502693176
389.7058758735657,190,833.6160871982574
386.7646985054016,547,837.2538301944733
2791.91170501709,3828,876.2706456184387
1492.6470425128937,2784,908.590571641922
1613.9705612659454,941,915.0207867622375
450.7352855205536,590,919.085150718689
1416.176458120346,675,923.7554516792297
2741.176413536072,1513,934.0791628360748
1754.4117341041565,945,953.8995287418365
2791.9117197990417,3750,992.7865543365479
1739.705849647522,1635,1003.9659504890442
1630.88232254982,404,1006.7683217525482
1612.4999709129333,543,1010.4867622852325
1758.0882022380829,625,1014.7739210128784
444.11763882637024,595,1032.1789212226868
1613.9705576896667,549,1035.9592578411102
1734.558791399002,682,1040.6470654010773
1612.4999816417694,798,1046.018902540207
1605.8823187351227,1004,1052.7154309749603
1735.2940878868103,839,1058.342446088791
2791.9117188453674,1618,1082.7681016921997
2030.147033214569,4500,1126.7748067378998
477.20587635040283,557,1130.5803413391113
2791.911725282669,1286,1139.3488817214966
1752.9411449432373,856,1158.5457711219788
1750.7352612018585,703,1163.3757219314575
1411.7646832466125,553,1167.14497423172
2791.9117336273193,2261,1182.609601020813
