l,t
1000,6.62267804145813
2000,13.16919207572937
3000,19.743269205093384
4000,26.34894895553589
5000,46.40856194496155
6000,53.00449228286743
7000,59.578129053115845
8000,66.15118360519409
9000,85.89807772636414
10000,92.3376727104187
11000,98.75183916091919
12000,105.17302083969116
13000,124.95327854156494
14000,131.64955282211304
15000,138.22543597221375
16000,144.7616949081421
17000,164.43969988822937
18000,170.97821927070618
19000,177.46606516838074
20000,184.0852541923523
21000,203.83753657341003
22000,210.46578288078308
23000,217.09666657447815
24000,223.71642518043518
25000,243.5210883617401
26000,250.1339817047119
27000,256.74357080459595
28000,263.4450068473816
29000,283.24483156204224
30000,289.8690891265869
31000,296.5043148994446
32000,303.1425232887268
33000,322.99129986763
34000,329.63111758232117
35000,336.23265075683594
36000,342.8573908805847
37000,362.7069480419159
38000,369.3100357055664
39000,375.8937397003174
40000,382.5348618030548
41000,402.47114849090576
42000,409.1367199420929
43000,415.7734589576721
44000,422.4028494358063
45000,429.0222420692444
46000,448.9733238220215
47000,455.5988652706146
48000,462.20034861564636
49000,468.8039481639862
50000,488.7690074443817
51000,495.38483214378357
52000,502.0021505355835
53000,508.52868008613586
54000,528.3749899864197
55000,535.0388646125793
56000,541.6437230110168
57000,548.2488918304443
58000,568.2483079433441
59000,574.9413294792175
60000,581.5959782600403
61000,588.1964662075043
62000,608.0597813129425
63000,614.6838164329529
64000,621.3599503040314
65000,627.9385159015656
66000,647.7766673564911
67000,654.4205524921417
68000,661.1078670024872
69000,667.7219951152802
70000,687.5620610713959
71000,694.2517969608307
72000,700.8771324157715
73000,707.5268788337708
74000,727.4680919647217
75000,734.0961804389954
76000,740.6854918003082
77000,747.3596534729004
78000,767.2910151481628
79000,773.912027835846
80000,780.5222387313843
81000,787.1242809295654
82000,807.080057144165
83000,813.7074308395386
84000,820.3046250343323
85000,826.9212276935577
86000,833.60986161232
87000,853.4074990749359
88000,859.8775119781494
89000,866.4538521766663
90000,873.1075825691223
91000,892.9759609699249
92000,899.5701024532318
93000,906.1708619594574
94000,912.7493522167206
95000,932.645795583725
96000,939.3004772663116
97000,945.9049623012543
98000,952.5338521003723
99000,972.4741570949554
100000,979.1272869110107
101000,985.7530779838562
102000,992.3802599906921
103000,1012.3209562301636
104000,1018.9627928733826
105000,1025.5812480449677
106000,1032.1536881923676
107000,1051.9768261909485
108000,1058.5532014369965
109000,1065.2019443511963
110000,1071.7942066192627
111000,1091.722308397293
112000,1098.3393306732178
113000,1104.9668715000153
114000,1111.5493702888489
115000,1131.5077114105225
116000,1138.0750331878662
117000,1144.6519358158112
118000,1151.2086486816406
119000,1171.026668548584
120000,1177.6402294635773
121000,1184.2060458660126
122000,1190.7799553871155
