r,l,t
590.7256234884262,4500,43.04158282279968
344.7041400074959,4500,85.89923429489136
749.7144408226013,4500,128.2736623287201
261.0979399085045,4500,170.97955679893494
740.8055894374847,4500,213.7743844985962
743.5467863678932,4500,256.7445664405823
708.5966454744339,4500,299.79940915107727
782.6086832880974,4500,342.85838747024536
743.5467830896378,4500,385.8142309188843
683.2406831979752,4500,429.02322602272034
762.0497894883156,4500,485.379221200943
720.2467122077942,4500,528.3760039806366
719.5614035725594,4500,571.5800657272339
542.7549040317535,4500,614.6849555969238
648.2905804514885,4500,657.7284648418427
768.2174828648567,4500,700.8782892227173
768.2174732089043,4500,744.0122618675232
762.7350909113884,4500,787.1252810955048
701.7436991333961,4500,830.2659599781036
769.5880736708641,4500,873.1086235046387
754.5115501284599,4500,929.2792537212372
707.2260791063309,4500,972.4752547740936
736.0085410475731,4500,1015.6196584701538
801.111692905426,4500,1058.5541973114014
542.7548810839653,4500,1101.6088478565216
701.0584089159966,4500,1144.6529445648193
768.90278673172,4500,1187.4990808963776
