l,t
1000,6.6446614265441895
2000,13.299939632415771
3000,19.90070080757141
4000,26.62853503227234
5000,46.68144226074219
6000,53.297688484191895
7000,59.89533185958862
8000,66.50823426246643
9000,86.37620663642883
10000,93.00858402252197
11000,99.60200357437134
12000,106.19809174537659
13000,126.09860253334045
14000,132.73684167861938
15000,139.31339478492737
16000,145.91100406646729
17000,165.8523759841919
18000,172.5031497478485
19000,179.0776436328888
20000,185.66143441200256
21000,205.5649333000183
22000,212.1686589717865
23000,218.7583520412445
24000,225.36531257629395
25000,245.24825716018677
26000,251.891273021698
27000,258.4865913391113
28000,265.1446409225464
29000,284.9769797325134
30000,291.65118384361267
31000,298.2844033241272
32000,304.8747363090515
33000,324.7582974433899
34000,331.36479091644287
35000,337.9737379550934
36000,344.5919518470764
37000,364.41927766799927
38000,371.05005288124084
39000,377.65416264533997
40000,384.2772810459137
41000,404.17330145835876
42000,410.8362989425659
43000,417.4552643299103
44000,424.0308632850647
45000,430.659193277359
46000,450.5912058353424
47000,457.2146213054657
48000,463.8909115791321
49000,470.54378294944763
50000,490.4736924171448
51000,497.1205801963806
52000,503.7680752277374
53000,510.41690826416016
54000,530.4039332866669
55000,537.1106197834015
56000,543.8375852108002
57000,550.4524421691895
58000,570.4196543693542
59000,577.1399221420288
60000,583.8852565288544
61000,590.6610391139984
62000,610.6732094287872
63000,617.3655796051025
64000,624.0967819690704
65000,630.8337755203247
66000,650.8001644611359
67000,657.4767007827759
68000,664.2000181674957
69000,670.8361260890961
70000,690.7993519306183
71000,697.5003821849823
72000,704.2480845451355
73000,711.0176050662994
74000,731.0570151805878
75000,737.7881820201874
76000,744.5502352714539
77000,751.3482046127319
78000,771.335499048233
79000,778.1689076423645
80000,784.9668209552765
81000,791.8233280181885
82000,811.8420748710632
83000,818.6455502510071
84000,825.4351043701172
85000,832.2174909114838
86000,838.9778869152069
87000,858.9734206199646
88000,865.7855408191681
89000,872.6261556148529
90000,879.3117520809174
91000,899.4559664726257
92000,906.2417805194855
93000,912.9383306503296
94000,919.7122201919556
95000,939.7803606987
96000,946.5447738170624
97000,953.3459329605103
98000,960.1851189136505
99000,980.2635793685913
100000,987.1054236888885
101000,993.9424855709076
102000,1000.7507395744324
103000,1020.8717024326324
104000,1027.6589806079865
105000,1034.4298956394196
106000,1041.035460948944
107000,1061.123142004013
108000,1067.9150247573853
109000,1074.634863615036
110000,1081.465044260025
111000,1101.5280501842499
112000,1108.5583217144012
113000,1115.4821383953094
114000,1122.455559015274
115000,1142.7328791618347
116000,1149.6908354759216
117000,1156.6667912006378
118000,1163.6606812477112
119000,1183.9417097568512
120000,1190.8778841495514
