r,l,t
4.76837158203125e-07,503,3.332704544067383
0.0,64,3.7827389240264893
123.79080992937088,503,7.087159156799316
125.8313193321228,503,10.392576932907104
0.0,48,10.735150575637817
867.8304389119148,262,12.500272035598755
119.02962148189545,503,15.807983636856079
867.2158427238464,417,18.571391582489014
867.2158428430557,213,20.002429723739624
0.0,63,20.44075322151184
6.556510925292969e-07,444,23.38110113143921
0.0,49,23.730425119400024
0.0,135,24.647843599319458
0.0,48,24.98693346977234
253.7031455039978,503,41.742576599121094
140.1148709654808,503,45.076940298080444
152.35791444778442,503,48.39070796966553
112.21945405006409,503,51.69863963127136
1.7881393432617188e-07,152,52.730324029922485
163.90840727090836,503,56.04321050643921
-3.4570693969726562e-06,503,59.36853361129761
867.2158445119858,209,60.76666522026062
161.8680583834648,503,64.09615898132324
166.64146375656128,503,67.40634250640869
157.11909812688828,503,83.99201464653015
17.6844020485878,503,87.30999374389648
166.64147466421127,503,90.61146879196167
0.0,49,90.96022748947144
6.556510925292969e-07,163,92.06287574768066
166.6414743065834,503,95.37798595428467
146.91656517982483,503,98.69642090797424
127.18204486370087,503,101.99805331230164
0.0,50,102.35460209846497
150.31740701198578,503,105.658273935318
867.2158417105675,383,121.46987533569336
867.2158410549164,273,123.30088758468628
867.2158427238464,634,127.48110437393188
-3.337860107421875e-06,503,130.78596782684326
2.384185791015625e-07,105,131.5066077709198
1.0728836059570312e-06,109,132.248788356781
77.53929501771927,503,135.55526208877563
163.24062806367874,503,138.8642237186432
160.5199509859085,503,142.16884684562683
0.0,49,142.51278614997864
163.22829347848892,503,145.81977725028992
2.2649765014648438e-06,251,147.49239587783813
867.2158430814743,294,162.74386072158813
867.2158423662186,203,164.09758353233337
867.2158424258232,400,166.75965237617493
867.2158453464508,386,169.32473826408386
867.2158415913582,412,172.0551176071167
61.89072471857071,503,175.36646342277527
166.62888425588608,503,178.6731460094452
155.7587640285492,503,181.9857132434845
36.048971354961395,503,185.29506397247314
867.2158427238464,472,188.40898776054382
867.2158406376839,398,204.3416612148285
867.2158421874046,276,206.1804552078247
859.7339786291122,503,209.47745156288147
0.0,49,209.82447004318237
837.9685626626015,503,213.1444821357727
192.48790937662125,503,216.45703864097595
38.089480102062225,503,219.76407051086426
167.30900186300278,503,223.06937289237976
0.0,48,223.41035103797913
857.0133031606674,503,226.72029519081116
609.4316753149033,503,243.29131150245667
867.2158401012421,144,244.26767373085022
867.2158413529396,319,246.40671277046204
867.2158434987068,310,248.4789900779724
166.62888580560684,503,251.78552389144897
867.2158432602882,348,254.090430021286
867.2158426046371,199,255.42234706878662
677.4486102461815,503,258.72797751426697
867.2158408761024,162,259.8223919868469
166.64146906137466,503,263.13924980163574
867.8304381370544,286,265.0459678173065
867.2158423662186,127,265.91256642341614
867.8304393291473,380,268.42560839653015
312.1741164922714,503,284.9780066013336
867.2158424854279,273,286.8045279979706
867.2158415913582,435,289.6959443092346
867.2158432602882,414,292.44191312789917
867.2158422470093,503,295.7479853630066
867.8304424881935,254,297.4406433105469
