l,t
1000,6.598986864089966
2000,13.220957040786743
3000,19.789404153823853
4000,26.420583963394165
5000,46.369595766067505
6000,52.90749788284302
7000,59.436989545822144
8000,65.88777112960815
9000,85.74739217758179
10000,92.24866962432861
11000,98.82537341117859
12000,105.4369592666626
13000,125.26676774024963
14000,131.75509095191956
15000,138.40960311889648
16000,145.04930186271667
17000,164.87320971488953
18000,171.44818139076233
19000,178.01481223106384
20000,184.68208694458008
21000,204.45959091186523
22000,211.10108876228333
23000,217.58532786369324
24000,224.06573820114136
25000,243.9715518951416
26000,250.55361413955688
27000,257.23295760154724
28000,263.8716905117035
29000,283.7319846153259
30000,290.29569578170776
31000,296.8788752555847
32000,303.5036869049072
33000,323.3230483531952
34000,329.96996879577637
35000,336.61774730682373
36000,343.19086170196533
37000,362.96464920043945
38000,369.5915262699127
39000,376.23508620262146
40000,382.87465810775757
41000,402.85911774635315
42000,409.4774286746979
43000,416.0083396434784
44000,422.6686189174652
45000,429.35888743400574
46000,449.39306116104126
47000,455.9389832019806
48000,462.42237067222595
49000,468.8626239299774
50000,488.602915763855
51000,495.23064851760864
52000,501.9203362464905
53000,508.5215423107147
54000,528.4485952854156
55000,534.988888502121
56000,541.5519335269928
57000,548.2138760089874
58000,568.1721341609955
59000,574.8056013584137
60000,581.4064486026764
61000,587.9537923336029
62000,607.8335163593292
63000,614.3712253570557
64000,620.9671280384064
65000,627.5799272060394
66000,647.4159541130066
67000,653.989887714386
68000,660.5475442409515
69000,667.107800245285
70000,687.0017082691193
71000,693.6763150691986
72000,700.2527165412903
73000,706.7884166240692
74000,726.6004407405853
75000,733.0489461421967
76000,739.6864919662476
77000,746.2693247795105
78000,766.2187147140503
79000,772.8061971664429
80000,779.2347724437714
81000,785.6647779941559
82000,805.5432393550873
83000,812.1481783390045
84000,818.7443740367889
85000,825.3080370426178
86000,831.7464344501495
87000,851.471771478653
88000,857.9011478424072
89000,864.5091154575348
90000,871.0737142562866
91000,890.854326248169
92000,897.3056905269623
93000,903.858402967453
94000,910.52587890625
95000,930.4337754249573
96000,936.9720990657806
97000,943.3998160362244
98000,949.841771364212
99000,969.8046977519989
100000,976.3716285228729
101000,982.8718519210815
102000,989.3025393486023
103000,1009.1067974567413
104000,1015.7086427211761
105000,1022.2435393333435
106000,1028.704692363739
107000,1048.4232454299927
108000,1054.901550769806
109000,1061.4819316864014
110000,1068.0645351409912
111000,1088.0585997104645
112000,1094.6249630451202
113000,1101.2158963680267
114000,1107.8210468292236
115000,1127.6750793457031
116000,1134.0987200737
117000,1140.5306158065796
118000,1147.0648245811462
119000,1166.8755424022675
120000,1173.5023264884949
121000,1180.0588772296906
122000,1186.51402759552
