r,l,t
862.2950572967529,999,6.560601472854614
354.0983519554138,314,8.661197185516357
311.4754009246826,137,9.58076548576355
352.4590063095093,998,16.137176036834717
384.3912281990051,931,22.248308658599854
359.01638317108154,396,24.90605926513672
868.0327620506287,1998,51.38729691505432
427.8688416481018,707,56.011953830718994
789.3442397117615,1830,81.16631078720093
299.99999141693115,226,82.69615364074707
322.9508090019226,1906,95.10201144218445
416.39343070983887,166,96.22457456588745
309.80785298347473,665,100.58206176757812
304.0983519554138,472,103.70846915245056
413.93441438674927,140,104.65591335296631
1096.7212777137756,2527,134.45468831062317
299.99999141693115,157,135.524804353714
364.72088527679443,190,136.80036520957947
404.09834909439087,551,140.43511939048767
353.2786784172058,344,142.7176868915558
305.70987367630005,1298,164.52364706993103
426.19069743156433,203,165.88541316986084
1374.4649748802185,1419,175.17124247550964
406.5573649406433,122,175.99927067756653
307.37704038619995,359,178.37032318115234
352.4590063095093,244,179.99893045425415
299.99999141693115,236,181.5777461528778
427.0491681098938,210,182.9852967262268
1109.8360342979431,1377,205.24711346626282
436.0258672237396,168,206.38957142829895
432.78687286376953,273,208.19071054458618
299.1803193092346,161,209.26707816123962
980.3278412818909,2368,224.65470123291016
298.3606472015381,215,226.09098935127258
362.29506969451904,259,227.81473994255066
299.1803207397461,123,241.9069640636444
809.8360424041748,813,247.2431502342224
436.06556129455566,378,249.74830508232117
420.49179124832153,467,252.8175549507141
434.4262170791626,182,254.04652309417725
317.2131052017212,196,255.35773587226868
359.8360552787781,168,256.49237966537476
844.1854186058044,599,260.47437381744385
309.80785393714905,143,261.43893003463745
1390.1638946533203,925,267.5193815231323
300.8196630477905,146,281.7523741722107
1047.5409536361694,679,286.2376129627228
920.4917769432068,1162,293.8756127357483
811.4015245437622,831,299.3519163131714
299.18031883239746,224,300.8380947113037
408.19670963287354,250,302.5041573047638
1097.540952205658,1557,326.0011224746704
300.79228138923645,133,326.90895199775696
318.8234202861786,408,329.6166019439697
417.2131028175354,271,331.43972873687744
298.3606472015381,372,333.89652848243713
1093.3430528640747,876,339.688113451004
1609.6894574165344,2185,367.25236916542053
350.81966257095337,454,370.29212069511414
417.17512559890747,143,371.2544243335724
1096.7212800979614,547,374.8797652721405
810.6557140350342,437,377.78500294685364
300.8196630477905,273,379.5972099304199
418.0327744483948,192,380.87340450286865
324.59015464782715,471,384.00661611557007
299.99999141693115,158,385.06798911094666
319.6430220603943,157,386.1340093612671
414.7540864944458,170,387.27911162376404
318.0327754020691,171,388.42315340042114
1096.7212800979614,322,403.84180641174316
3092.622862815857,2390,419.5456051826477
298.3606448173523,211,420.9715247154236
298.3606472015381,189,422.2451665401459
432.78687286376953,167,423.36232900619507
352.4590063095093,205,424.7331278324127
430.32785654067993,258,426.46471190452576
316.3934335708618,202,427.8048748970032
316.364634513855,153,428.83922147750854
309.0163850784302,199,443.493314743042
980.3278408050537,531,447.04633688926697
304.0706684589386,222,448.52572894096375
299.99999141693115,116,449.31525588035583
3722.131042957306,4500,491.7873520851135
408.19670963287354,204,493.1782705783844
404.9180212020874,140,494.12165784835815
922.1311211585999,322,496.26974749565125
299.153085231781,131,497.1567544937134
300.8196635246277,208,498.5481197834015
361.47539949417114,146,499.534410238266
2036.6997542381287,1078,506.640398979187
317.2131042480469,139,507.5821385383606
416.39343070983887,142,508.537367105484
304.0983519554138,257,523.528323173523
299.99999141693115,235,525.1181485652924
3181.1474409103394,2503,541.4915735721588
436.06556129455566,230,543.0340030193329
1088.5245594978333,401,545.693178653717
405.73769330978394,167,546.8225927352905
301.6393356323242,129,547.6928668022156
299.1803193092346,117,548.4830415248871
300.8196635246277,153,549.5143797397614
1104.0983276367188,736,567.6841609477997
1823.7704396247864,900,573.6371388435364
301.6393356323242,117,574.4340608119965
299.999990940094,136,575.3535187244415
3235.2458062171936,2236,590.0116398334503
3172.1310534477234,2410,619.1280632019043
301.6393356323242,110,619.887323141098
406.55736541748047,208,621.2739124298096
428.68851232528687,445,624.1937298774719
3195.9015488624573,1638,648.2508516311646
1433.6065163612366,1636,658.9467344284058
301.6393346786499,138,659.8885295391083
3092.62286233902,2355,688.6891067028046
987.7048897743225,427,691.5482785701752
1095.901607990265,310,693.6218605041504
3722.131034851074,4500,736.2478694915771
301.6118757724762,113,737.0399544239044
300.8196635246277,182,738.2630553245544
298.3606472015381,150,739.2755553722382
374.5560553073883,131,740.157956123352
3092.62286233902,1157,747.7635748386383
301.61187648773193,129,748.643492937088
3722.131042957306,4500,791.1909477710724
299.1803169250488,132,805.450835943222
1831.9671607017517,1563,815.755982875824
3722.1310410499573,4500,858.2376058101654
3722.1310386657715,4500,900.8696775436401
1624.5901174545288,637,905.0797755718231
416.39343070983887,156,906.1335914134979
429.5081844329834,160,907.2085556983948
302.4590072631836,182,908.4267201423645
301.6393356323242,221,909.9046874046326
410.65572595596313,131,910.787905216217
3722.1310353279114,4500,966.6766407489777
418.852445602417,153,967.7403702735901
299.9726791381836,214,969.1700730323792
3722.131042957306,4500,1011.7338714599609
3722.131040096283,4500,1054.2388668060303
299.9999885559082,241,1055.877283334732
3009.016296863556,1225,1063.9179694652557
991.8032503128052,703,1068.556283712387
299.1803193092346,213,1069.9767291545868
352.4590063095093,414,1086.045823097229
318.03277683258057,137,1086.9924726486206
3159.016297340393,1905,1099.4855637550354
299.1803183555603,108,1100.2316224575043
420.49179124832153,238,1101.8104209899902
3722.1310300827026,4500,1144.3193259239197
3217.7397203445435,1407,1166.8278357982635
301.6393356323242,121,1167.6563358306885
303.2786798477173,141,1168.6039600372314
