l,t
1000,7.206794738769531
2000,14.411771059036255
3000,21.103699207305908
4000,27.787439584732056
5000,49.711594581604004
6000,56.40777134895325
7000,63.64553141593933
8000,71.03287672996521
9000,92.2362687587738
10000,99.3525505065918
11000,106.43347358703613
12000,114.46934509277344
13000,136.08406805992126
14000,142.8896622657776
15000,150.3160581588745
16000,157.0318636894226
17000,179.78889679908752
18000,186.90853238105774
19000,193.6877031326294
20000,200.48768401145935
21000,221.85993576049805
22000,228.72917532920837
23000,235.78129172325134
24000,242.8703842163086
25000,264.7361304759979
26000,272.45640301704407
27000,279.7565953731537
28000,286.786226272583
29000,309.4886255264282
30000,315.93839025497437
31000,322.67905735969543
32000,330.05488753318787
33000,351.06914353370667
34000,357.5452289581299
35000,364.589031457901
36000,371.0627808570862
37000,395.7425928115845
38000,403.0757782459259
39000,409.59248304367065
40000,416.43287539482117
41000,438.39278411865234
42000,446.6610152721405
43000,454.611695766449
44000,462.13707160949707
45000,469.65206480026245
46000,493.532173871994
47000,500.6095325946808
48000,507.676864862442
49000,514.8850884437561
50000,537.9632968902588
51000,545.5553979873657
52000,553.3770079612732
53000,561.5005431175232
54000,585.4474911689758
55000,593.1448028087616
56000,600.6638948917389
57000,607.8696873188019
58000,632.1738069057465
59000,639.2699825763702
60000,646.2793343067169
61000,653.6930451393127
62000,676.4834642410278
63000,684.0764200687408
64000,691.2045652866364
65000,698.5428078174591
66000,721.2592613697052
67000,728.1901404857635
68000,735.1914048194885
69000,741.9598548412323
70000,764.0217547416687
71000,771.3085114955902
72000,778.883243560791
73000,786.2403962612152
74000,809.7874865531921
75000,817.8954045772552
76000,825.5789949893951
77000,832.3093638420105
78000,855.2235472202301
79000,862.2977039813995
80000,868.7922854423523
81000,875.7148714065552
82000,901.1144440174103
83000,910.1154360771179
84000,919.9382538795471
85000,927.7833881378174
86000,934.5492124557495
87000,961.406076669693
88000,967.8125402927399
89000,974.1933164596558
90000,980.4848961830139
91000,1004.6688508987427
92000,1010.7638621330261
93000,1016.8436708450317
94000,1022.902503490448
95000,1042.3537905216217
96000,1048.4868822097778
97000,1054.608204126358
98000,1060.731760263443
99000,1080.2212436199188
100000,1086.5577654838562
101000,1093.1950290203094
102000,1099.8156218528748
103000,1120.9746799468994
104000,1127.6951463222504
105000,1134.326384305954
106000,1140.6433308124542
107000,1160.1234152317047
108000,1166.228123664856
109000,1172.4671609401703
110000,1178.6019546985626
