r,l,t
570.4225405454636,4500,45.99868655204773
540.9959874153137,4500,92.23740887641907
2573.692171931267,4500,139.31225061416626
2532.9477105140686,4500,186.9095642566681
2492.2032549381256,4500,232.2838191986084
2562.3742763996124,4500,279.7576928138733
2501.257571697235,4500,326.1024487018585
331.6146913766861,122,327.0685441493988
2558.978905558586,4500,371.8784091472626
2515.9708440303802,4500,420.5452950000763
2527.2887514829636,4500,487.06267046928406
2475.226356267929,4500,535.0302817821503
2436.745498776436,4500,586.2839202880859
2545.3974130153656,4500,636.2431697845459
2578.219335436821,4500,684.8584520816803
2565.7696421146393,4500,732.6236281394958
2543.1338299512863,4500,779.8420023918152
2542.002023458481,4500,829.6316890716553
2561.242466688156,4500,876.551812171936
2594.0643944740295,4500,932.0145490169525
2448.063400387764,4500,997.7944190502167
3784.708264708519,4500,1039.9618291854858
2554.451729655266,4500,1080.9667053222656
2554.451726078987,4500,1125.1052868366241
2522.761578321457,4500,1166.9742693901062
393.86317801475525,81,1167.5302426815033
