l,t
1000,6.065086841583252
2000,12.050063371658325
3000,18.18269634246826
4000,24.302557945251465
5000,43.85261416435242
6000,50.03117346763611
7000,56.145864725112915
8000,62.27040362358093
9000,81.58396601676941
10000,87.64443755149841
11000,93.71416902542114
12000,99.74223327636719
13000,118.96849966049194
14000,124.96779322624207
15000,131.0412027835846
16000,137.04350876808167
17000,156.2867558002472
18000,162.39142751693726
19000,168.44301795959473
20000,174.50214338302612
21000,193.8332827091217
22000,199.92467975616455
23000,206.01537036895752
24000,212.19669556617737
25000,231.6336808204651
26000,237.83000135421753
27000,244.04118824005127
28000,250.2900505065918
29000,269.6366853713989
30000,275.8682153224945
31000,282.03058767318726
32000,288.24133920669556
33000,307.6230914592743
34000,313.77863574028015
35000,319.9047474861145
36000,326.0279321670532
37000,345.39305806159973
38000,351.57043647766113
39000,357.6998805999756
40000,363.83165073394775
41000,383.16331481933594
42000,389.4566192626953
43000,395.7337899208069
44000,402.01025795936584
45000,408.24159598350525
46000,427.58812189102173
47000,433.723934173584
48000,439.8653802871704
49000,446.04194355010986
50000,465.72716093063354
51000,471.88320684432983
52000,477.9986493587494
53000,484.10227036476135
54000,503.45142555236816
55000,509.81271743774414
56000,515.9850037097931
57000,522.1157653331757
58000,541.566015958786
59000,547.6998589038849
60000,554.0305693149567
61000,560.4313163757324
62000,580.1768264770508
63000,586.5479300022125
64000,592.8396406173706
65000,598.9754972457886
66000,618.4718172550201
67000,624.5990388393402
68000,630.8048532009125
69000,636.997079372406
70000,656.3514025211334
71000,662.5073821544647
72000,668.6425902843475
73000,674.8783755302429
74000,694.2840306758881
75000,700.4298660755157
76000,706.5626490116119
77000,712.7428116798401
78000,732.0487329959869
79000,738.1811447143555
80000,744.3092925548553
81000,750.4826474189758
82000,769.9013795852661
83000,776.0373349189758
84000,782.1494932174683
85000,788.2571170330048
86000,794.5233776569366
87000,814.0891275405884
88000,820.2448532581329
89000,826.3789618015289
90000,832.5136349201202
91000,852.0754611492157
92000,858.2350351810455
93000,864.3986601829529
94000,870.5390861034393
95000,890.0154407024384
96000,896.4922404289246
97000,902.6999824047089
98000,908.8401412963867
99000,928.3221666812897
100000,934.4638004302979
101000,940.7955651283264
102000,947.1778573989868
103000,966.3486258983612
104000,972.4861221313477
105000,978.6290357112885
106000,984.7641878128052
107000,1004.2196352481842
108000,1010.363801240921
109000,1016.5047481060028
110000,1022.6454198360443
111000,1041.9281890392303
112000,1048.196448802948
113000,1054.3460938930511
114000,1060.4966502189636
115000,1079.6810698509216
116000,1085.9277963638306
117000,1092.2671735286713
118000,1098.4088726043701
119000,1117.6058342456818
120000,1123.7262165546417
121000,1129.8640854358673
122000,1136.1255564689636
123000,1155.4878692626953
124000,1161.6411998271942
125000,1167.7588686943054
126000,1173.9537522792816
127000,1193.4486088752747
