r,l,t
538.8482750654221,619,3.75293231010437
299.2458974123001,4500,44.57098865509033
334.2093303203583,4500,85.30055856704712
373.28611147403717,4500,125.6852023601532
622.1435207128525,2742,155.39135265350342
505.94150841236115,1419,164.0693564414978
608.7751491069794,1365,172.3247184753418
595.4067779779434,382,174.66157698631287
609.8034806251526,505,190.97529125213623
605.690140247345,1244,198.49904370307922
542.9616186618805,148,199.43011784553528
528.5649106502533,498,202.45794129371643
557.3583279848099,321,204.4284152984619
590.2650910615921,754,209.00632190704346
597.4634417295456,92,209.60082006454468
593.3500990867615,194,210.80591249465942
595.4067713022232,129,211.61863589286804
860.7175499200821,140,212.50837206840515
611.8601591587067,703,230.11682415008545
608.7751483917236,322,232.10020685195923
603.6334689855576,311,234.02722573280334
814.4424279928207,660,238.12232565879822
607.7468074560165,208,239.41657090187073
519.3098813295364,270,241.08229041099548
595.4067749977112,317,243.0424942970276
617.0018410682678,256,244.65928506851196
596.4351063966751,134,245.50666546821594
859.6892243623734,456,248.36416792869568
591.2934291362762,766,253.03515577316284
863.8025718927383,310,268.1710202693939
605.690138220787,493,271.2008855342865
604.6618031263351,211,272.51057958602905
488.4597862958908,142,273.4006643295288
607.74680519104,202,274.6565010547638
601.5767905712128,134,275.510205745697
608.7751460075378,397,277.93844842910767
604.6617912054062,83,278.47757840156555
595.4067754745483,256,280.0496838092804
833.9808212518692,230,281.4741196632385
605.6901397705078,260,283.06846618652344
546.0466306209564,151,284.01198720932007
1288.505494236946,336,286.1069293022156
843.2358499765396,268,287.7679033279419
2292.1618163585663,4500,328.6544270515442
608.7751470804214,441,344.55917835235596
1765.6535822153091,4500,385.43877696990967
607.7468086481094,144,386.3666100502014
604.6618003845215,201,387.6092355251312
1006.741317987442,187,388.7898895740509
621.1151719093323,83,389.32322573661804
860.7175627946854,153,390.2836768627167
604.6617887020111,81,390.80757665634155
878.1992781162262,150,391.7441143989563
609.8034782409668,136,392.5960066318512
600.5484541654587,142,393.484179019928
575.8683792352676,137,394.3470380306244
601.5767860412598,92,394.93432569503784
572.7833729982376,152,395.8935396671295
581.0100628137589,146,396.8043246269226
602.6051179170609,81,397.33210921287537
600.5484575033188,195,398.541805267334
605.6901376247406,194,399.7428283691406
594.378436088562,190,400.92371916770935
597.4634469747543,136,401.78676080703735
600.548455953598,139,402.66027307510376
790.7906888723373,168,403.7126898765564
606.7184690237045,96,404.3243577480316
592.3217589855194,101,404.9709005355835
1755.3702075481415,4500,445.8162977695465
860.7175483703613,107,446.5288589000702
610.8318209648132,139,460.7181758880615
595.406768321991,136,461.5794286727905
868.9442425966263,123,462.36845350265503
583.0667198896408,80,462.890255689621
866.887561917305,98,463.51938343048096
597.4634356498718,81,464.0461640357971
607.7467997074127,85,464.59477972984314
2288.0484594106674,4500,505.4118547439575
605.6901296377182,94,506.03755474090576
612.888484954834,93,506.63541865348816
863.8025629520416,118,507.3885862827301
603.6334607601166,92,507.9791054725647
594.3784310817719,95,508.58526611328125
590.2650811672211,81,509.10633873939514
593.3500860929489,81,509.6313555240631
1765.653569817543,4500,550.6237463951111
860.7175397872925,93,551.2451782226562
597.4634462594986,130,552.0672726631165
600.5484443902969,83,552.609103679657
597.4634281396866,80,553.1293587684631
594.3784285783768,81,553.6520066261292
860.7175580263138,140,554.5342569351196
605.6901230812073,78,555.0423719882965
606.7184574604034,74,555.5253276824951
603.6334524154663,80,556.0401723384857
597.4634379148483,88,556.6038348674774
865.859233379364,136,557.4612474441528
868.9442495107651,133,558.3045990467072
865.8592252731323,102,558.9579012393951
597.4634325504303,80,559.4774594306946
578.9533734321594,80,559.9946281909943
869.9725819826126,134,560.8423886299133
866.8875699043274,103,561.5012009143829
587.1800805330276,94,562.1054327487946
606.7184665203094,83,562.6428847312927
862.7742228507996,108,576.6494195461273
576.896709561348,93,577.2477910518646
855.5758669376373,99,577.8951346874237
843.2358332872391,117,578.6426429748535
610.8318072557449,92,579.2348484992981
877.1709344387054,110,579.9382288455963
602.6051174402237,79,580.4492602348328
871.0009025335312,91,581.0393936634064
608.7751431465149,97,581.661493062973
863.8025548458099,126,582.4605941772461
610.8318161964417,98,583.0862293243408
599.520107626915,92,583.6752321720123
860.7175520658493,98,584.304575920105
592.32175385952,85,584.8525762557983
1190.813528895378,157,585.846221446991
594.378432393074,134,586.6915857791901
610.8318101167679,81,587.2182066440582
872.0292499065399,113,587.9412608146667
603.6334571838379,87,588.5018217563629
1765.6535575389862,4500,629.5524823665619
1764.6252304315567,4500,670.5053958892822
799.0173779726028,145,671.4428596496582
2280.850087285042,4500,712.3772222995758
1699.8400325775146,3949,749.8104474544525
597.4634405374527,134,750.6779360771179
591.2934098243713,75,751.1687648296356
2290.105150580406,4500,791.970999956131
1089.0082273483276,191,793.1940770149231
609.8034694194794,76,793.6888332366943
598.4917682409286,82,794.2228860855103
574.840026974678,75,808.035519361496
832.9524527788162,89,808.6114189624786
1765.6535429954529,4500,849.6806499958038
1763.5968675613403,4500,890.7557101249695
604.6617885828018,81,891.3058495521545
594.3784227371216,80,891.8243982791901
605.6901227235794,80,892.3391261100769
594.3784236907959,78,892.8490903377533
600.5484478473663,95,893.4579148292542
593.3500874042511,79,893.9708278179169
860.7175371646881,89,894.5459361076355
871.0009024143219,88,895.1186010837555
588.2084044218063,79,895.6325099468231
603.633451461792,80,896.1519660949707
620.086830496788,75,896.6403632164001
585.1233923435211,77,897.1374938488007
1765.6535460948944,4500,938.1750345230103
1009.8263208866119,101,938.8512048721313
602.6051136255264,79,939.3644342422485
867.9158916473389,87,939.9277608394623
868.9442329406738,92,940.5207531452179
607.7467941045761,76,941.0177865028381
858.6608647108078,92,941.6107640266418
1367.6873759031296,144,942.5370552539825
600.5484367609024,78,943.0434226989746
853.5191828012466,91,943.6312487125397
604.661784529686,95,944.2429664134979
594.3784295320511,95,944.8489201068878
597.4634327888489,80,945.3698892593384
1765.6535551548004,4500,986.0575106143951
563.5283294916153,81,986.6070666313171
588.2083996534348,78,987.1137795448303
852.4908449649811,89,987.6880211830139
1756.3985196352005,4500,1041.6237032413483
609.8034660816193,79,1042.1622397899628
604.6617835760117,79,1042.6769003868103
604.6617869138718,78,1043.1847994327545
