l,t
1000,7.7392590045928955
2000,15.154290914535522
3000,24.537734746932983
4000,33.44930911064148
5000,59.29885506629944
6000,67.52764964103699
7000,75.26758742332458
8000,84.15124583244324
9000,108.77368569374084
10000,116.7231547832489
11000,124.69176125526428
12000,132.56512141227722
13000,158.45265316963196
14000,166.5172679424286
15000,174.66237044334412
16000,182.689270734787
17000,208.7110869884491
18000,217.11443042755127
19000,224.9610140323639
20000,232.7238278388977
21000,258.3201026916504
22000,267.14106941223145
23000,275.6857364177704
24000,284.78199911117554
25000,318.97965574264526
26000,328.43541145324707
27000,337.09789967536926
28000,346.34259152412415
29000,370.69963693618774
30000,378.8141429424286
31000,386.7157611846924
32000,394.4196619987488
33000,426.4560172557831
34000,435.16754508018494
35000,443.89564752578735
36000,452.6265983581543
37000,480.0122764110565
38000,487.5054371356964
39000,494.96633791923523
40000,502.1314182281494
41000,527.3366603851318
42000,535.2763977050781
43000,543.9699096679688
44000,553.6014649868011
45000,563.3065555095673
46000,590.7286722660065
47000,598.4592940807343
48000,605.3723120689392
49000,613.4653894901276
50000,638.3056838512421
51000,645.1787712574005
52000,652.46062707901
53000,658.7155179977417
54000,681.2764987945557
55000,687.6047899723053
56000,694.5573828220367
57000,701.5176012516022
58000,723.8693432807922
59000,730.2430644035339
60000,736.5938837528229
61000,743.4739365577698
62000,764.2245147228241
63000,770.5502955913544
64000,777.0268833637238
65000,784.1475899219513
66000,804.3854672908783
67000,810.6051795482635
68000,816.9575531482697
69000,823.4021604061127
70000,843.8406774997711
71000,850.2363176345825
72000,857.2769889831543
73000,865.1966059207916
74000,886.5209784507751
75000,893.8414676189423
76000,900.5347158908844
77000,907.0134553909302
78000,927.5719127655029
79000,934.1863415241241
80000,941.135085105896
81000,948.2918441295624
82000,972.7387795448303
83000,980.3608219623566
84000,988.2379851341248
85000,994.9680514335632
86000,1002.3325393199921
87000,1025.1622831821442
88000,1031.510636806488
89000,1038.3064057826996
90000,1044.586279630661
91000,1069.8257012367249
92000,1076.88694024086
93000,1083.6314775943756
94000,1090.3720939159393
95000,1112.5083754062653
96000,1119.175260066986
97000,1126.393479347229
98000,1133.6930980682373
99000,1154.8398933410645
100000,1161.341346502304
101000,1168.7876842021942
102000,1175.6447818279266
