r,l,t
433.61456060409546,2618,21.208670139312744
177.8419165611267,176,22.676710605621338
382.65984439849854,4500,77.75851321220398
224.8001754283905,287,80.51018214225769
383.6589660644531,912,104.79173135757446
205.81704950332642,129,105.86424994468689
391.6518611907959,606,110.5419921875
620.4484498500824,4500,164.21067833900452
314.7202455997467,130,165.35484766960144
573.4902083873749,4500,219.88974285125732
289.74244832992554,133,221.0112099647522
250.77708458900452,164,222.272207736969
656.4164991378784,4500,276.96957063674927
624.4449150562286,4500,343.2850863933563
351.68738555908203,127,344.6195685863495
436.611896276474,95,345.3347601890564
256.7717559337616,80,345.98698687553406
567.4954895973206,4500,398.7954361438751
936.1678214073181,4500,479.60516452789307
465.58614110946655,125,480.6341784000397
619.4493436813354,4500,531.8934020996094
589.4759588241577,4500,591.2558033466339
626.4431040287018,4500,642.3137309551239
458.5923581123352,107,643.0602111816406
339.69804334640503,64,643.5220546722412
187.83303546905518,69,643.9965009689331
598.4679796695709,4500,689.8309075832367
655.4173748493195,4500,735.4012622833252
664.4093697071075,4500,779.0493686199188
251.77619647979736,70,779.570552110672
251.77619647979736,77,780.0849032402039
250.77708458900452,72,780.6023616790771
193.82770681381226,71,781.0746295452118
454.59591031074524,110,781.8082664012909
436.611896276474,100,782.5072989463806
471.580815076828,84,783.3247435092926
447.6021270751953,89,784.0834803581238
341.69620990753174,4500,826.5092666149139
394.649197101593,105,827.2290031909943
1923.2903833389282,4500,887.2640829086304
189.83125925064087,55,887.723046541214
456.59413480758667,86,888.3787775039673
611.4564538002014,4500,932.3534517288208
251.77619647979736,73,932.9191110134125
342.6953794956207,65,933.3866443634033
1402.7530896663666,4500,983.3685791492462
475.57725858688354,130,984.5393908023834
436.61186242103577,2383,1001.3626511096954
251.77619647979736,77,1002.0455205440521
185.83481168746948,64,1018.4205105304718
396.64742064476013,105,1019.1194310188293
629.4404647350311,4500,1066.8390309810638
457.5932469367981,102,1067.573044538498
189.83125925064087,63,1068.2942733764648
252.7753083705902,75,1068.9696068763733
276.75399374961853,90,1069.5851547718048
260.768203496933,81,1070.2998654842377
620.448442697525,4500,1116.143313884735
457.5932466983795,84,1116.750884771347
633.4369237422943,4500,1162.595222234726
304.72912669181824,126,1163.5445857048035
