l,t
1000,6.3077943325042725
2000,12.67015814781189
3000,18.967636346817017
4000,25.10131049156189
5000,44.65499258041382
6000,51.01480746269226
7000,57.37238097190857
8000,63.716729164123535
9000,83.27234029769897
10000,89.59378695487976
11000,95.97925925254822
12000,102.340487241745
13000,121.97946810722351
14000,128.33962106704712
15000,134.74403548240662
16000,141.0522973537445
17000,160.70112109184265
18000,166.88938331604004
19000,173.11830306053162
20000,179.2891457080841
21000,198.8891739845276
22000,205.28428268432617
23000,211.65139031410217
24000,218.02002954483032
25000,237.6611909866333
26000,244.0222761631012
27000,250.40397882461548
28000,256.75060200691223
29000,276.338063955307
30000,282.6753888130188
31000,289.1102533340454
32000,295.4020118713379
33000,315.0511255264282
34000,321.4371831417084
35000,327.790105342865
36000,334.1623384952545
37000,353.78653860092163
38000,360.2119743824005
39000,366.6293432712555
40000,372.8571536540985
41000,392.37780833244324
42000,398.71042680740356
43000,405.15087270736694
44000,411.5136649608612
45000,417.92888927459717
46000,437.5297341346741
47000,443.9081964492798
48000,450.2907004356384
49000,456.64096903800964
50000,476.2391662597656
51000,482.4778552055359
52000,488.6819965839386
53000,494.88531160354614
54000,514.5238225460052
55000,520.8925678730011
56000,527.1220006942749
57000,533.3076508045197
58000,552.9120008945465
59000,559.0868072509766
60000,565.278599023819
61000,571.5840966701508
62000,591.1551954746246
63000,597.4274427890778
64000,603.7681000232697
65000,609.9741818904877
66000,629.5998129844666
67000,636.0002138614655
68000,642.5007917881012
69000,648.868570804596
70000,668.4165329933167
71000,674.7750000953674
72000,681.177484035492
73000,687.5597131252289
74000,707.2569007873535
75000,713.4748384952545
76000,719.7301065921783
77000,726.0338881015778
78000,745.4720723628998
79000,751.7692031860352
80000,758.0444414615631
81000,764.2182559967041
82000,783.7312099933624
83000,789.9385962486267
84000,796.1264035701752
85000,802.4291253089905
86000,808.6132695674896
87000,828.115088224411
88000,834.3026311397552
89000,840.5498497486115
90000,846.7843360900879
91000,866.2692465782166
92000,872.4180154800415
93000,878.5647306442261
94000,884.7617888450623
95000,904.3073351383209
96000,910.5831189155579
97000,916.8095812797546
98000,923.147458076477
99000,942.7027263641357
100000,949.1626558303833
101000,955.6234102249146
102000,962.0676054954529
103000,981.5658373832703
104000,987.8985052108765
105000,994.0835130214691
106000,1000.3574786186218
107000,1019.8945608139038
108000,1026.1006155014038
109000,1032.2831890583038
110000,1038.546516418457
111000,1058.2063977718353
112000,1064.4093220233917
113000,1070.5279264450073
114000,1076.6953837871552
115000,1096.1062066555023
116000,1102.5185768604279
117000,1108.6870188713074
118000,1115.0441839694977
119000,1134.6128854751587
120000,1140.8377077579498
121000,1147.1393647193909
122000,1153.570256948471
123000,1173.1688640117645
124000,1179.3793058395386
125000,1185.6144869327545
126000,1191.8392622470856
