r,l,t
1945.2416877746582,814,5.105281829833984
149.5468282699585,298,7.027187824249268
83.83685827255249,365,9.33161997795105
126.88821792602539,329,11.407407760620117
116.6918432712555,329,13.501885890960693
1.1329305171966553,430,16.201678037643433
36.25377655029297,449,19.048410654067993
1648.4138786792755,4500,60.610666036605835
2960.347437620163,2089,87.05375957489014
1581.5709788799286,4500,128.98776507377625
2339.5015037059784,1906,141.109050989151
2876.510580778122,2701,171.29058861732483
2884.4410741329193,2991,203.33747720718384
1705.060420036316,4500,245.29409551620483
1671.072512626648,4500,287.12760639190674
2254.531726360321,4500,329.0669746398926
2960.3474316596985,2190,356.2745625972748
2261.329317331314,3245,376.8014090061188
2956.9486417770386,1962,402.53901171684265
2364.425987482071,2064,415.76375579833984
2960.347452402115,3234,449.58808517456055
2960.3474214076996,802,454.7255859375
2954.682767868042,1681,478.59298849105835
2960.347437620163,4141,517.8353495597839
2919.5619361400604,1004,524.1429636478424
1742.4471340179443,4500,565.429285287857
2259.063452720642,1621,588.8965520858765
2960.3474197387695,1020,595.3074851036072
2265.861040830612,4500,637.0754158496857
379.5317232608795,100,637.7850384712219
2524.1691677570343,4500,679.6088862419128
401.05740308761597,82,680.1721317768097
2960.347411632538,1459,689.4962916374207
2956.9486236572266,2082,715.8919243812561
2960.3474249839783,1299,724.0537323951721
2960.3474264144897,1630,747.4549276828766
1939.5770461559296,1193,754.9350302219391
406.7220528125763,73,755.4244704246521
1657.4773712158203,4500,796.6374526023865
2960.347423315048,372,799.0052876472473
2304.3806812763214,4500,840.2113509178162
2925.2265813350677,406,842.7906301021576
3105.362535715103,4500,883.8426575660706
2960.34742808342,1511,906.6179001331329
2960.3474264144897,478,909.6199495792389
2960.3474340438843,1126,916.6183176040649
2329.305126428604,248,918.1985049247742
2380.287007331848,401,920.7183201313019
2960.3473942279816,295,922.5859169960022
411.2537727355957,71,923.0538556575775
2313.4441046714783,1067,943.074061870575
2342.9002974033356,769,948.0191378593445
2918.4290039539337,649,952.1883275508881
2839.1238498687744,499,955.4317846298218
2003.021147966385,181,956.6166095733643
2288.5196273326874,268,958.3395431041718
2426.737158536911,2139,985.0595228672028
2929.7582981586456,299,987.000629901886
2960.34743309021,1997,999.414083480835
2960.3474259376526,667,1016.9134016036987
2960.3474402427673,2834,1034.5098714828491
2960.3473949432373,975,1040.636334180832
2328.1721889972687,227,1042.0837571620941
407.85498213768005,73,1055.8363106250763
403.3232591152191,75,1056.3429567813873
2525.302101612091,4500,1097.4064524173737
2350.8307831287384,239,1098.975388765335
2128.7764456272125,2061,1111.8949966430664
404.45618987083435,73,1112.3843688964844
2960.3474283218384,705,1116.8276996612549
2960.3474481105804,3564,1152.597000360489
2960.347427368164,2467,1181.3533554077148
2960.3474338054657,1605,1191.3299543857574
2960.347421169281,408,1193.90731549263
416.918425321579,70,1194.3659756183624
