l,t
1000,6.257091522216797
2000,12.510153532028198
3000,18.75372624397278
4000,25.019585847854614
5000,44.863505840301514
6000,51.129080295562744
7000,57.384384870529175
8000,63.61942648887634
9000,83.1409637928009
10000,89.56742715835571
11000,95.82384443283081
12000,102.08492183685303
13000,121.64618110656738
14000,128.0844738483429
15000,134.35229182243347
16000,140.6043245792389
17000,160.10018634796143
18000,166.3512589931488
19000,172.77043533325195
20000,179.04100036621094
21000,198.52198219299316
22000,204.803227186203
23000,211.19841694831848
24000,217.4460253715515
25000,236.9557056427002
26000,243.19206357002258
27000,249.42113590240479
28000,255.84134125709534
29000,275.3532643318176
30000,281.62079882621765
31000,287.8764407634735
32000,294.2929427623749
33000,313.83867025375366
34000,320.10577750205994
35000,326.3533310890198
36000,332.6041786670685
37000,352.254132270813
38000,358.5324170589447
39000,364.78896617889404
40000,371.04024600982666
41000,390.7288062572479
42000,397.01708984375
43000,403.252623796463
44000,409.5165750980377
45000,415.8172821998596
46000,435.5642158985138
47000,441.8458631038666
48000,448.1137070655823
49000,454.3728096485138
50000,474.0356466770172
51000,480.30893182754517
52000,486.5564618110657
53000,492.79006695747375
54000,512.3459429740906
55000,518.7490513324738
56000,525.0108671188354
57000,531.2597959041595
58000,550.8295683860779
59000,557.2458250522614
60000,563.5010280609131
61000,569.7751154899597
62000,589.3488929271698
63000,595.6035752296448
64000,602.0222775936127
65000,608.2677443027496
66000,627.9619698524475
67000,634.2514638900757
68000,640.4997253417969
69000,646.7444560527802
70000,666.3479402065277
71000,672.7958283424377
72000,679.0384030342102
73000,685.2807667255402
74000,704.8071825504303
75000,711.2305221557617
76000,717.4937372207642
77000,723.7606642246246
78000,743.2978007793427
79000,749.6386070251465
80000,756.061488866806
81000,762.3009083271027
82000,782.0083041191101
83000,788.2555153369904
84000,794.5168352127075
85000,800.7624547481537
86000,807.0175247192383
87000,826.7710359096527
88000,833.0261423587799
89000,839.2585937976837
90000,845.4800462722778
91000,865.222231388092
92000,871.4740447998047
93000,877.7246782779694
94000,883.9561040401459
95000,903.6156389713287
96000,910.0147700309753
97000,916.255496263504
98000,922.4854779243469
99000,942.060643196106
100000,948.4577600955963
101000,954.7120337486267
102000,960.9758462905884
103000,980.4401621818542
104000,986.6595222949982
105000,993.0791461467743
106000,999.3014719486237
107000,1018.8743748664856
108000,1025.093190908432
109000,1031.48104262352
110000,1037.7194628715515
111000,1057.2991001605988
112000,1063.523152589798
113000,1069.754647731781
114000,1076.137164592743
115000,1095.7262287139893
116000,1101.967717885971
117000,1108.1925184726715
118000,1114.5665791034698
119000,1134.1180696487427
120000,1140.364494562149
121000,1146.5813403129578
122000,1152.8344039916992
123000,1172.5822372436523
124000,1178.8155863285065
125000,1185.0456628799438
126000,1191.2724089622498
