r,l,t
914.1966962218285,4500,41.58669948577881
898.9148850440979,4500,83.14213919639587
889.8715009689331,4500,124.78192853927612
889.8715093135834,4500,166.3522868156433
933.2798792123795,4500,207.9262936115265
959.505778670311,4500,249.42227983474731
929.6624748706818,4500,291.0036106109619
961.3144710063934,4500,332.60519313812256
905.2453438043594,4500,374.1590578556061
3777.431792497635,4500,415.8183343410492
963.123114824295,4500,470.7443165779114
947.7493844032288,4500,512.3469541072845
890.6861557364464,4500,553.9549441337585
907.054057598114,4500,595.6045668125153
2585.51053583622,2604,625.2990560531616
910.6714142560959,4500,666.9969570636749
1127.713223695755,4500,708.5818448066711
3781.5733583569527,4500,750.2987408638
2674.1359810829163,2451,765.7713878154755
1063.5050764083862,4500,820.6896870136261
915.1931384801865,4500,862.2704553604126
4186.19390976429,4500,903.9668955802917
892.5846501588821,4500,945.5207998752594
1028.1321718096733,4500,987.0072915554047
960.4101897478104,4500,1028.5458111763
1421.6240192651749,4500,1070.0985987186432
924.2365164756775,4500,1111.6494059562683
1472.2671003341675,4500,1153.1781396865845
1434.2847689390182,4500,1194.7324302196503
