l,t
1000,6.060544490814209
2000,12.066031694412231
3000,18.08226251602173
4000,24.08641004562378
5000,43.65810990333557
6000,49.6876757144928
7000,55.664655685424805
8000,61.65431213378906
9000,80.96344923973083
10000,87.13081860542297
11000,93.1478226184845
12000,99.1730535030365
13000,118.40304613113403
14000,124.56529784202576
15000,130.56606364250183
16000,136.57646679878235
17000,155.8569610118866
18000,161.8706021308899
19000,168.01203727722168
20000,174.01115608215332
21000,193.2385687828064
22000,199.23823070526123
23000,205.41180276870728
24000,211.42486143112183
25000,230.72322702407837
26000,236.7208297252655
27000,242.74058747291565
28000,248.90760612487793
29000,268.1704273223877
30000,274.18964171409607
31000,280.1897599697113
32000,286.35274267196655
33000,305.6372287273407
34000,311.68491196632385
35000,317.70352363586426
36000,323.7135145664215
37000,343.1746575832367
38000,349.2034168243408
39000,355.2075297832489
40000,361.2035882472992
41000,380.713497877121
42000,386.751736164093
43000,392.78550148010254
44000,398.81321120262146
45000,404.8358941078186
46000,424.3473527431488
47000,430.35570669174194
48000,436.3752133846283
49000,442.38851737976074
50000,461.9101011753082
51000,467.9373767375946
52000,473.9796652793884
53000,479.9913787841797
54000,499.39281368255615
55000,505.5508975982666
56000,511.57152938842773
57000,517.5946881771088
58000,536.9212431907654
59000,543.108469247818
60000,549.1243939399719
61000,555.1393342018127
62000,574.4972677230835
63000,580.5232315063477
64000,586.7159626483917
65000,592.7352364063263
66000,612.1010029315948
67000,618.1116089820862
68000,624.2784721851349
69000,630.299126625061
70000,649.665384054184
71000,655.6899242401123
72000,661.7002594470978
73000,667.8865783214569
74000,687.2305936813354
75000,693.2832219600677
76000,699.3856949806213
77000,705.5851385593414
78000,724.9104940891266
79000,730.9310359954834
80000,736.9485437870026
81000,742.9594995975494
82000,762.3848252296448
83000,768.419525384903
84000,774.4444272518158
85000,780.4501478672028
86000,786.6048324108124
87000,805.928512096405
88000,811.9491710662842
89000,817.9572658538818
90000,823.9664282798767
91000,843.4947941303253
92000,849.5235328674316
93000,855.5531568527222
94000,861.5489168167114
95000,881.0339806079865
96000,887.0566713809967
97000,893.0728828907013
98000,899.0574345588684
99000,918.4123499393463
100000,924.5720484256744
101000,930.5963861942291
102000,936.6125192642212
103000,956.0046200752258
104000,962.1742718219757
105000,968.1887657642365
106000,974.2200720310211
107000,993.5846099853516
108000,999.5893745422363
109000,1005.7520294189453
110000,1011.7528145313263
111000,1031.1393485069275
112000,1037.1204011440277
113000,1043.2613830566406
114000,1049.2685523033142
115000,1068.6605849266052
116000,1074.6482706069946
117000,1080.6864228248596
118000,1086.8368763923645
119000,1106.200100660324
120000,1112.2200736999512
121000,1118.196411371231
122000,1124.3287456035614
123000,1143.6245052814484
124000,1149.6552727222443
125000,1155.6601293087006
126000,1161.649938583374
127000,1181.1542501449585
128000,1187.1623756885529
129000,1193.144085407257
