r,l,t
-4.374980926513672e-05,4500,40.48994040489197
-8.249282836914062e-05,4500,80.96452164649963
46.05142730474472,4500,121.41269946098328
130.47919994592667,4500,161.87175512313843
-6.473064422607422e-05,4500,202.2572946548462
117.43126910924911,4500,242.74172234535217
105.91840183734894,4500,283.2026698589325
121.26890343427658,4500,323.7146542072296
148.89980953931808,4500,364.2249917984009
9.977742373943329,4500,404.83694338798523
143.52714520692825,4500,458.7470910549164
131.246732711792,4500,499.39393496513367
146.59724819660187,4500,539.9503085613251
137.38694900274277,4500,580.5242013931274
127.40911507606506,4500,621.1227543354034
122.03643447160721,4500,661.7012948989868
1578.031652033329,4500,702.4306087493896
146.59724551439285,4500,742.9604980945587
134.31683564186096,4500,783.457267999649
148.89981174468994,4500,823.9674444198608
162.71527183055878,4500,877.8735868930817
134.3168403506279,4500,918.4133460521698
128.17663717269897,4500,959.0201079845428
511.9392156600952,4500,999.5904040336609
146.59725028276443,4500,1040.125325679779
1818.2670566439629,4500,1080.6875727176666
648.5587093830109,4500,1121.1977648735046
110.52358150482178,4500,1161.651002407074
