l,t
1000,6.276732921600342
2000,12.395359992980957
3000,18.47440814971924
4000,24.467600345611572
5000,44.03379273414612
6000,50.055298805236816
7000,56.09250855445862
8000,62.29206562042236
9000,82.19699335098267
10000,88.38231372833252
11000,94.59923958778381
12000,100.86290788650513
13000,120.46611976623535
14000,126.63941955566406
15000,132.93523955345154
16000,139.1041579246521
17000,158.55692982673645
18000,164.7408425807953
19000,170.88769483566284
20000,177.1008219718933
21000,196.87082648277283
22000,203.0295443534851
23000,209.18370628356934
24000,215.261474609375
25000,234.84972834587097
26000,240.93989610671997
27000,247.22149014472961
28000,253.40060901641846
29000,272.9249382019043
30000,279.01930928230286
31000,285.2130208015442
32000,291.54918336868286
33000,311.12754797935486
34000,317.2312002182007
35000,323.5343806743622
36000,329.67092633247375
37000,349.18548679351807
38000,355.28371262550354
39000,361.3353843688965
40000,367.75542998313904
41000,387.48187017440796
42000,393.5745601654053
43000,400.1066300868988
44000,406.51085233688354
45000,413.0347549915314
46000,432.6107964515686
47000,438.6748239994049
48000,444.739786863327
49000,450.9395213127136
50000,470.6456546783447
51000,477.1880021095276
52000,483.65323853492737
53000,489.7871603965759
54000,509.41342306137085
55000,515.5112564563751
56000,521.5952651500702
57000,527.8597269058228
58000,547.3265433311462
59000,553.4158012866974
60000,559.4802720546722
61000,565.7807700634003
62000,585.5226442813873
63000,591.602933883667
64000,597.6773765087128
65000,603.7495853900909
66000,623.6176717281342
67000,629.724357843399
68000,635.8073561191559
69000,641.8837220668793
70000,661.3617963790894
71000,667.7851042747498
72000,673.872083902359
73000,679.9408760070801
74000,699.3920621871948
75000,705.7015764713287
76000,712.2189650535583
77000,718.2789652347565
78000,737.7535252571106
79000,743.8355748653412
80000,749.9273779392242
81000,756.4920725822449
82000,775.865136384964
83000,781.9640464782715
84000,788.0277123451233
85000,794.2402832508087
86000,800.2942399978638
87000,819.7262632846832
88000,825.7816958427429
89000,831.8351302146912
90000,838.1502330303192
91000,857.6922430992126
92000,863.7965128421783
93000,869.8813555240631
94000,876.0888793468475
95000,896.3090164661407
96000,902.4142689704895
97000,908.5141475200653
98000,914.5975203514099
99000,934.1575253009796
100000,940.8184773921967
101000,946.9203381538391
102000,953.024411201477
103000,972.5766625404358
104000,978.6385605335236
105000,985.2706685066223
106000,991.4048380851746
107000,1010.9209241867065
108000,1016.9954824447632
109000,1023.1071121692657
110000,1029.4809184074402
111000,1049.4216289520264
112000,1055.5395300388336
113000,1061.6192054748535
114000,1067.6852312088013
115000,1087.1139147281647
116000,1093.6643643379211
117000,1099.7326447963715
118000,1105.9619255065918
119000,1125.5039355754852
120000,1131.592116355896
121000,1137.6553573608398
122000,1143.8587894439697
123000,1163.8681042194366
124000,1170.6501517295837
125000,1177.0714910030365
126000,1183.5882406234741
