r,l,t
17.87065100669861,371,2.266037702560425
52.76595842838287,365,4.57510232925415
32.340426206588745,369,6.907362222671509
526.8085052967072,3110,39.18630886077881
680.0000022649765,3440,60.06911659240723
532.7659605741501,379,62.497090101242065
88.51064014434814,314,77.92389869689941
107.23404479026794,277,79.70972537994385
95.31915092468262,330,81.81527590751648
698.7234140634537,388,84.28501963615417
698.6573522090912,1546,93.81157326698303
790.6382994651794,616,97.672292470932
1250.0945837497711,3489,132.76492023468018
570.2127759456635,630,136.7214469909668
748.9361792802811,1745,160.80681467056274
821.1989629268646,755,165.49162197113037
1108.936189174652,1859,176.8767430782318
792.3404352664948,416,179.55194306373596
808.5106477737427,417,195.64794254302979
807.6595915555954,965,201.58882784843445
1623.8298165798187,4500,242.64897179603577
871.4893686771393,276,244.45567393302917
878.2979252338409,4323,284.35238337516785
1613.6170394420624,847,289.6718637943268
325.10638880729675,164,290.77430486679077
1611.9149030447006,2688,320.7373960018158
844.2553265094757,264,322.4666655063629
1624.680860877037,4500,363.4228105545044
524.2553275823593,197,364.74151849746704
577.8723499774933,226,366.214971780777
1124.2553395032883,629,370.1935524940491
319.14893901348114,77,370.76382756233215
1300.4255450963974,1829,395.40887570381165
818.7234034538269,155,396.4686758518219
325.9574477672577,141,397.43048095703125
338.72340524196625,228,398.9157512187958
1622.127652645111,519,402.24950671195984
1104.6808542013168,272,404.0289583206177
1624.680862903595,505,407.2401509284973
1622.12766456604,458,410.1497685909271
698.7234041690826,182,411.36872267723083
321.70212948322296,75,411.9228456020355
1242.5532071590424,3542,447.0219581127167
1623.8297967910767,629,450.97997522354126
1424.6808519363403,1073,471.1313216686249
302.9787254333496,85,471.7519998550415
1620.4255475997925,573,475.3705515861511
777.0212802886963,180,476.57823491096497
824.6808460950851,219,478.02326345443726
1623.8297947645187,500,481.2035245895386
342.1276595592499,129,482.09067702293396
3085.957508325577,4500,523.2191309928894
1624.680858373642,4500,564.1284227371216
299.574466586113,91,564.806921005249
851.0638297796249,228,566.3024704456329
1234.8936314582825,4131,605.0558252334595
1126.8085117340088,235,606.6344599723816
1154.0425490140915,214,621.4474039077759
1619.574467420578,4500,662.3634424209595
315.74468076229095,76,662.9494013786316
318.2978740930557,75,663.5052695274353
1624.6808573007584,4500,704.3458099365234
314.8936171531677,79,704.9513120651245
1342.9787195920944,379,707.3799962997437
318.29787492752075,78,707.9579532146454
304.68085289001465,100,708.6630098819733
320.0000013113022,75,709.2250845432281
1611.06385409832,4500,750.0904009342194
328.5106394290924,80,750.6991238594055
796.595745921135,162,751.7947220802307
333.6170210838318,80,752.3827080726624
1624.6808618307114,4500,793.1707656383514
1595.74467420578,4500,833.9489250183105
301.27659833431244,101,834.685063123703
1616.1702075004578,4500,875.655478477478
322.5531932115555,74,876.2270050048828
327.6595733165741,71,876.7635242938995
324.25531911849976,74,877.331974029541
352.3404264450073,78,891.3886022567749
321.70212984085083,76,891.9530856609344
317.44681084156036,79,892.548216342926
1624.6808352470398,4500,933.4189929962158
1176.1702057123184,290,935.350816488266
341.2765951156616,121,936.1866602897644
885.1063765287399,141,937.1498115062714
322.55319368839264,77,937.7192943096161
317.4468116760254,79,938.300803899765
1624.680846452713,4500,979.3068315982819
323.40425765514374,75,979.8872716426849
318.29787492752075,78,980.4642527103424
1177.872337937355,552,983.9285340309143
336.17021453380585,76,984.4937007427216
1624.6808445453644,4500,1025.4792232513428
1345.5319068431854,423,1028.2136325836182
1208.510645866394,547,1031.698443889618
1614.468068242073,302,1047.1282711029053
329.36170077323914,71,1047.6670191287994
1624.6808441877365,4500,1088.5347611904144
326.80851233005524,73,1089.1072816848755
806.808509349823,177,1090.2945311069489
325.1063851118088,73,1090.8376801013947
1465.5319097042084,1852,1102.217080116272
1608.5106440782547,4500,1143.1716651916504
1397.4468033313751,669,1147.4041492938995
885.1063714027405,98,1148.1079981327057
317.44681107997894,78,1148.6847941875458
835.7446836233139,120,1149.5245652198792
1607.6595735549927,303,1164.9602856636047
326.80851101875305,72,1165.5113809108734
1624.6808379888535,316,1167.566238641739
866.3829743862152,152,1168.6009230613708
1139.5744581222534,168,1169.7376594543457
341.27659845352173,77,1170.3091971874237
883.4042549133301,125,1171.174185037613
855.3191466331482,115,1171.9817843437195
1624.6808466911316,351,1174.2483322620392
1392.3404190540314,942,1180.0727581977844
1621.2765884399414,320,1182.1558063030243
291.91489470005035,89,1182.7977917194366
324.2553197145462,74,1183.3465223312378
330.21276450157166,72,1183.8842153549194
841.7021245956421,151,1184.9072864055634
321.7021287679672,74,1185.4631989002228
