l,t
1000,10.754592657089233
2000,21.42506980895996
3000,32.13362264633179
4000,42.73496603965759
5000,53.45956993103027
6000,64.13967514038086
7000,74.74972867965698
8000,85.38034081459045
9000,96.02232933044434
10000,106.82236433029175
11000,117.6453595161438
12000,128.363600730896
13000,139.07987570762634
14000,149.88909769058228
15000,160.72953820228577
16000,171.453861951828
17000,182.16879987716675
18000,192.8458297252655
19000,203.58735370635986
20000,214.34881138801575
21000,316.83772444725037
22000,419.153226852417
23000,521.1070692539215
24000,623.2189936637878
25000,726.3626449108124
26000,829.8213400840759
27000,933.218168258667
28000,1036.58145403862
29000,1139.8700058460236
