r,l,t
88.23529243469238,4500,48.03949189186096
30.882352352142334,4500,96.02346563339233
40.44117569923401,4500,144.408855676651
69.85293984413147,4500,192.8468894958496
30.88235330581665,3405,358.31192803382874
1769.1176133155823,1748,536.7360260486603
456.6176378726959,573,595.2204787731171
432.3529329299927,547,651.2123503684998
392.6470513343811,163,668.1182639598846
374.2646987438202,712,741.5919415950775
449.999990940094,550,798.502039194107
1586.0293943881989,916,893.2929110527039
464.7058730125427,575,952.7047011852264
427.20587396621704,564,1010.9930734634399
1619.1176280975342,1062,1120.718459367752
