l,t
1000,11.85839581489563
2000,23.15242075920105
3000,33.70000433921814
4000,44.25411868095398
5000,60.15002179145813
6000,71.2511818408966
7000,83.25733780860901
8000,95.16744899749756
9000,107.06762337684631
10000,118.85710883140564
11000,129.39909839630127
12000,139.9170753955841
13000,150.42374968528748
14000,160.972021818161
15000,171.56185150146484
16000,182.10708951950073
17000,192.64586472511292
18000,203.1960904598236
19000,213.78487372398376
20000,224.34125089645386
21000,326.6163070201874
22000,429.07001996040344
23000,531.1629800796509
24000,632.8139152526855
25000,734.2838432788849
26000,835.741641998291
27000,936.9598100185394
28000,1038.7090346813202
29000,1140.8421063423157
