l,t
1000,11.286613464355469
2000,22.727924346923828
3000,34.1696560382843
4000,45.825801372528076
5000,57.3310010433197
6000,69.17226600646973
7000,80.73292469978333
8000,92.5194308757782
9000,104.31084084510803
10000,115.80369257926941
11000,127.54438829421997
12000,139.19143509864807
13000,150.83217024803162
14000,162.40841794013977
15000,174.10940623283386
16000,185.54174637794495
17000,197.18177318572998
18000,208.82783317565918
19000,219.96879196166992
20000,231.62602829933167
21000,346.27451181411743
22000,461.2788016796112
23000,576.089772939682
24000,691.4740781784058
25000,806.7814891338348
26000,921.7956018447876
27000,1033.8377153873444
28000,1146.173772096634
