r,l,t
867.2158408761024,188,2.217498779296875
0.0,49,2.7922756671905518
161.88028818368912,503,8.284817695617676
135.35368609428406,503,14.028908729553223
867.2158412337303,474,19.542320489883423
140.79504096508026,503,25.25943684577942
157.78735256195068,503,31.052546977996826
148.95707166194916,503,36.736663579940796
867.2158406972885,426,41.60559630393982
-1.8537044525146484e-05,503,47.63478875160217
530.5320420861244,503,53.40110659599304
166.64146775007248,503,59.23400521278381
867.2158424854279,198,61.6152503490448
253.0229714512825,503,67.54361319541931
165.96130460500717,503,73.46188163757324
-5.781650543212891e-06,503,79.18888640403748
159.8397798538208,503,85.03510904312134
-3.993511199951172e-06,503,91.05144190788269
867.2158424854279,150,92.7707290649414
218.3343402147293,503,98.83980965614319
164.6009658575058,503,104.66684532165527
132.63301026821136,503,110.37108397483826
163.24062651395798,503,116.22195172309875
157.119102537632,503,122.1923475265503
110.17910104990005,503,128.02282166481018
159.15961122512817,503,133.8231852054596
253.7031410932541,503,139.70793294906616
867.2158417105675,305,143.23936414718628
867.2158406376839,486,148.93545746803284
867.2158427834511,174,150.9660177230835
867.2158430218697,360,155.18762373924255
166.64147353172302,503,160.96822905540466
867.2158409953117,299,164.48205161094666
165.28113573789597,503,170.47500157356262
867.2158415317535,343,174.33188199996948
161.18793767690659,503,180.03125405311584
159.83977228403091,503,185.8183057308197
867.2158430814743,261,188.72874188423157
164.60096657276154,503,194.6843614578247
867.215841114521,360,198.90821385383606
166.64147239923477,503,204.76667976379395
157.11910372972488,503,210.56070947647095
165.2811341881752,503,216.128276348114
867.2158411741257,358,220.2051486968994
0.0,48,220.79574155807495
159.15960729122162,503,226.65790176391602
867.2158423066139,218,229.18995356559753
867.2158401012421,217,232.17586183547974
867.2158430814743,112,245.03936982154846
867.2158433198929,503,302.67296528816223
867.2158435583115,82,312.05258297920227
867.2158413529396,163,330.6132230758667
31.287785232067108,503,388.4671401977539
867.2158420085907,105,400.5375690460205
-3.814697265625e-06,503,458.3905277252197
867.2158397436142,170,477.9332284927368
867.2158386707306,161,496.6036911010742
867.2158421874046,160,515.1036658287048
867.2158395051956,118,528.3018493652344
867.2158409357071,101,539.9654674530029
867.2158393263817,138,555.6350362300873
867.2158398628235,406,602.7251687049866
867.215838432312,257,632.3374924659729
867.215838611126,100,643.7989211082458
867.2158393859863,155,661.6502461433411
867.2158385515213,101,673.3204567432404
867.2158384919167,100,684.8477168083191
867.2158391475677,189,706.3776278495789
867.2158385515213,100,717.8254382610321
867.215838611126,99,729.0720455646515
867.2158390283585,139,745.2047731876373
867.215838611126,100,756.9331619739532
867.8304457068443,155,774.7409045696259
867.2158392071724,212,799.2859954833984
867.215838432312,160,817.9605796337128
867.2158385515213,101,829.7077560424805
867.215838611126,102,841.6292533874512
867.2158383131027,139,857.3540971279144
867.2158388495445,126,871.8882274627686
867.2158385515213,147,888.6054174900055
867.2158386707306,100,900.0939581394196
867.2158395051956,136,915.7680728435516
867.2158383727074,105,927.9374358654022
867.2158384919167,217,952.8664872646332
867.2158385515213,124,966.7999126911163
867.2158382534981,109,979.0767450332642
867.2158388495445,107,990.8526287078857
867.2158372998238,166,1008.6394400596619
867.215838432312,173,1028.125236749649
867.2158387899399,130,1042.8351027965546
867.2158388495445,102,1054.3452606201172
867.2158388495445,137,1070.0583531856537
867.2158393263817,194,1092.792248725891
867.2158397436142,211,1115.623455286026
867.2158383727074,119,1128.2536056041718
867.2158400416374,108,1140.1939280033112
867.2158386707306,176,1160.1200621128082
867.215839266777,179,1179.874976158142
867.215839266777,103,1191.2642397880554
