l,t
1000,10.727428197860718
2000,21.454871654510498
3000,32.23562979698181
4000,43.111281633377075
5000,54.06936955451965
6000,64.95294880867004
7000,75.86495041847229
8000,86.71575617790222
9000,97.69858455657959
10000,108.66655707359314
11000,119.71876835823059
12000,130.6083858013153
13000,141.76424312591553
14000,152.72760105133057
15000,163.6898410320282
16000,174.6646785736084
17000,185.66540455818176
18000,196.64609718322754
19000,207.69642305374146
20000,218.62360191345215
21000,323.5161006450653
22000,428.5693476200104
23000,533.7582941055298
24000,639.0949404239655
25000,752.7108221054077
26000,859.7511248588562
27000,975.6135532855988
28000,1092.656638622284
