l,t
1000,10.749271869659424
2000,23.798791885375977
3000,37.592050552368164
4000,52.728405714035034
5000,64.78756046295166
6000,78.61243605613708
7000,90.44050288200378
8000,102.00507831573486
9000,113.64381456375122
10000,125.55581760406494
11000,141.05077600479126
12000,153.1027057170868
13000,166.39873623847961
14000,179.66264486312866
15000,193.17231154441833
16000,207.20162343978882
17000,223.94716453552246
18000,237.54383897781372
19000,251.92876625061035
20000,265.70950198173523
21000,391.48988342285156
22000,505.8157432079315
23000,621.3811647891998
24000,730.3824620246887
25000,835.2115137577057
26000,940.1651685237885
27000,1044.9984965324402
28000,1161.7005414962769
