l,t
1000,13.081104040145874
2000,25.044001579284668
3000,39.30624794960022
4000,54.701456785202026
5000,66.54431629180908
6000,77.00602412223816
7000,87.49091172218323
8000,97.99086809158325
9000,110.31855607032776
10000,122.06006956100464
11000,135.25765419006348
12000,147.62327313423157
13000,158.5751702785492
14000,170.44756317138672
15000,183.1382713317871
16000,194.62039995193481
17000,205.6137728691101
18000,218.93520617485046
19000,231.66371130943298
20000,244.35026741027832
21000,387.8802773952484
22000,521.1566951274872
23000,638.9903824329376
24000,752.7944195270538
25000,866.1504285335541
26000,983.5557079315186
27000,1095.399763584137
