r,l,t
552.216647028923,192,3.0123708248138428
597.4634435176849,337,7.586581230163574
597.4634368419647,91,8.713264465332031
597.4634422063828,97,9.816868543624878
581.0100573301315,155,11.572486639022827
597.4634418487549,96,12.640873670578003
576.8967193365097,316,16.359524726867676
572.7833679914474,277,19.416966915130615
597.4634426832199,96,20.731565475463867
596.4351093769073,134,22.31210947036743
860.717561841011,829,33.77430057525635
597.4634417295456,85,35.078213691711426
852.490874171257,418,40.599570751190186
597.4634418487549,495,47.41148376464844
517.2532072067261,128,49.45370531082153
1754.3418835401535,4500,100.62808895111084
572.7833670377731,92,101.95461654663086
860.7175637483597,177,104.22606015205383
533.7065858840942,95,105.3969898223877
597.4634411334991,96,106.62320709228516
597.4634437561035,143,108.33946228027344
606.7184715270996,97,109.54632687568665
597.4634408950806,678,117.58470487594604
597.4634432792664,130,119.10457754135132
1276.1654640436172,355,123.44274759292603
593.35009598732,459,129.55808544158936
2288.048473238945,4500,183.98560428619385
601.5767905712128,278,187.12752103805542
590.2650860548019,92,188.44389700889587
541.9332815408707,153,190.11692643165588
873.0575946569443,253,192.87951397895813
1261.7687578201294,303,196.18731141090393
597.4634475708008,203,198.4590470790863
597.4634420871735,135,199.96367526054382
601.5767835378647,80,200.84400510787964
587.1800835132599,146,202.4446394443512
540.9049417972565,401,206.78428053855896
1288.505502820015,733,216.63475131988525
589.2367528676987,139,218.68727803230286
597.4634445905685,1106,232.6361243724823
597.4634464979172,859,243.59950518608093
583.0667357444763,138,257.45667457580566
597.4634391069412,82,268.1083080768585
852.4908397197723,89,279.42642045021057
829.8674587011337,121,298.9630537033081
820.6124254465103,94,312.95348715782166
549.1316193342209,74,323.4227647781372
591.2934107780457,77,334.5403826236725
581.0100476741791,78,345.6278774738312
590.2650752067566,76,356.48895740509033
593.3500847816467,78,367.57563614845276
536.7915810346603,76,378.3081409931183
568.6700096130371,76,389.00891399383545
549.1316190958023,78,399.9176595211029
594.3784198760986,74,410.0426776409149
599.5201021432877,76,420.33941745758057
595.406756401062,76,430.8860583305359
610.8318022489548,76,441.4186155796051
510.0548346042633,76,452.0042190551758
516.2248531579971,76,462.5216681957245
554.2732999324799,76,473.0672342777252
575.8683644533157,76,483.60662937164307
612.888475060463,76,493.79422211647034
566.6133368015289,76,503.03554701805115
539.8765902519226,76,511.77239751815796
577.9250372648239,76,520.4317960739136
563.5283275842667,76,529.617063999176
568.6700096130371,76,539.2635786533356
563.5283275842667,76,548.3468661308289
563.5283280611038,93,559.4141664505005
596.4350925683975,76,568.0202753543854
563.5283275842667,77,577.0775339603424
554.2733002901077,74,586.0171430110931
583.0667192935944,76,595.0008690357208
583.0667192935944,76,603.8856866359711
594.37841963768,75,611.8587629795074
577.9250377416611,74,620.7342510223389
584.0950556993484,77,630.1321561336517
562.4999910593033,74,638.5540902614594
589.2367379665375,74,647.3112580776215
590.2650743722916,74,655.5132446289062
591.2934105396271,77,664.1979115009308
605.6901204586029,77,673.5702412128448
590.2650742530823,78,681.8898847103119
600.5484384298325,89,691.3684182167053
563.5283274650574,77,699.5162587165833
603.6334475278854,79,707.8669126033783
581.0100466012955,75,716.4124138355255
864.8308963775635,141,733.4827132225037
605.6901205778122,79,743.4204924106598
609.8034658432007,77,752.043133020401
611.8601441383362,89,761.8187525272369
607.7467976808548,86,770.8318634033203
576.8967008590698,77,779.768905878067
564.5566639900208,77,788.3180160522461
586.151731133461,79,798.4394528865814
606.7184567451477,79,807.3164594173431
602.6051157712936,87,818.5616128444672
574.8400280475616,80,827.0468935966492
513.139845252037,76,835.5994849205017
465.83637177944183,76,843.8621621131897
459.66635382175446,76,852.2484865188599
475.09140264987946,78,860.9556248188019
492.57311713695526,76,869.321478843689
493.60145366191864,77,878.1750364303589
775.3656158447266,90,888.7388396263123
787.7056514024734,92,899.4042632579803
528.5648909807205,77,907.7465097904205
773.30894780159,93,918.4409337043762
814.4424016475677,91,928.7851741313934
525.4798812866211,77,939.1006300449371
761.9972432851791,91,950.4441673755646
515.1965165138245,77,960.6958582401276
526.508217215538,78,969.322151184082
468.9213808774948,75,977.6089248657227
602.6051111221313,79,986.3189423084259
578.953373670578,77,994.8584034442902
570.7266821861267,79,1003.5359847545624
563.5283274650574,79,1012.3975884914398
490.51644361019135,78,1021.1863281726837
771.252272605896,92,1031.4441928863525
750.685544013977,94,1042.3637931346893
526.5082175731659,79,1051.1647384166718
577.9250375032425,74,1059.69109749794
504.91315269470215,80,1068.3339819908142
591.2934106588364,75,1076.9630529880524
516.224860906601,90,1086.6372828483582
799.0173538923264,96,1097.6912915706635
560.4433188438416,74,1106.118454694748
520.3381997346878,74,1116.2456772327423
769.1955997943878,87,1129.8014101982117
562.4999915361404,74,1140.1965672969818
567.6416726112366,74,1151.9523944854736
562.4999911785126,79,1161.843056678772
501.82814383506775,78,1170.1968841552734
518.2815270423889,75,1178.2589869499207
552.2166271209717,79,1188.8929042816162
