l,t
1000,16.10248112678528
2000,27.70933699607849
3000,39.2406280040741
4000,50.720083475112915
5000,66.86226463317871
6000,77.84933257102966
7000,88.83739566802979
8000,99.85295367240906
9000,110.8553078174591
10000,121.9164137840271
11000,132.95604395866394
12000,144.01457476615906
13000,155.0954601764679
14000,166.242342710495
15000,177.35008478164673
16000,188.45954155921936
17000,199.61862444877625
18000,210.7755708694458
19000,221.90963220596313
20000,232.97697854042053
21000,345.9942262172699
22000,458.97023916244507
23000,571.5437197685242
24000,684.1467854976654
25000,796.853280544281
26000,909.2818868160248
27000,1027.0941190719604
28000,1163.3357410430908
