r,l,t
0.0,4500,60.07793569564819
0.0,4500,110.85646677017212
0.0,4500,160.6390483379364
0.0,4500,210.77662348747253
137.87744092941284,2918,336.70498847961426
305.7282385826111,345,375.5857717990875
373.66784715652466,130,390.35538935661316
310.7237980365753,107,402.4647102355957
185.83481168746948,91,412.7716875076294
1923.2903950214386,4500,919.5071926116943
189.83125925064087,62,926.8079102039337
190.83037114143372,64,934.3675632476807
220.8037281036377,114,947.8503067493439
222.8019516468048,115,961.417414188385
189.83125925064087,71,969.6949632167816
220.80372786521912,115,983.3579370975494
187.83303546905518,86,994.2300307750702
298.7344560623169,177,1014.914834022522
222.8019518852234,116,1028.434187412262
193.82770681381226,69,1036.7297189235687
193.82770681381226,66,1045.241976737976
342.6953806877136,74,1054.5019855499268
