l,t
1000,12.443959474563599
2000,24.855513334274292
3000,38.08268880844116
4000,51.23347473144531
5000,63.64764070510864
6000,77.26056671142578
7000,88.35522603988647
8000,99.74814653396606
9000,110.75540685653687
10000,121.76414442062378
11000,133.57606267929077
12000,144.9818696975708
13000,158.015953540802
14000,168.70171785354614
15000,180.78881168365479
16000,192.21416234970093
17000,204.2869040966034
18000,217.23938298225403
19000,229.402259349823
20000,243.28347206115723
21000,370.11710596084595
22000,495.98043489456177
23000,619.198753118515
24000,736.191064119339
25000,846.3038489818573
26000,962.7752606868744
27000,1093.2422924041748
