r,l,t
2960.34743475914,2620,33.80749225616455
2960.347414493561,782,43.020241022109985
3105.3625354766846,4500,98.66080355644226
3100.8308079242706,4500,151.11776161193848
3105.3625133037567,4500,203.1796534061432
2960.347424507141,319,207.0199797153473
2922.960720539093,278,210.76626777648926
2960.3474221229553,310,214.53590631484985
2960.3474111557007,398,219.7704894542694
2960.3474185466766,290,223.15449929237366
2498.111799478531,3420,485.8411455154419
404.45618987083435,73,494.6918842792511
404.45618987083435,73,503.94251799583435
404.45618987083435,73,512.0253720283508
404.45618987083435,73,520.7826766967773
404.45618987083435,73,529.5426666736603
404.45618987083435,73,538.6222069263458
404.45618987083435,73,547.7619142532349
404.45618987083435,73,557.6456098556519
404.45618987083435,73,566.1903133392334
404.45618987083435,73,574.2191596031189
404.45618987083435,73,583.7516505718231
404.45618987083435,73,593.7978689670563
404.45618987083435,73,603.8185701370239
404.45618987083435,73,612.3879497051239
404.45618987083435,73,620.4689111709595
404.45618987083435,73,629.5330545902252
404.45618987083435,73,638.9956336021423
404.45618987083435,73,647.2348279953003
404.45618987083435,73,656.1049721240997
404.45618987083435,73,665.9964890480042
404.45618987083435,73,675.5321826934814
404.45618987083435,73,684.3807072639465
404.45618987083435,73,692.6198160648346
404.45618987083435,73,700.9671721458435
404.45618987083435,73,708.7367877960205
404.45618987083435,73,716.4999573230743
2499.244696855545,285,746.7517795562744
404.45618987083435,73,754.517076253891
404.45618987083435,73,763.8575611114502
404.45618987083435,73,774.4333052635193
2498.1117601394653,236,799.4360842704773
2380.2869913578033,224,823.0024764537811
404.45618987083435,73,830.6841125488281
2960.3473944664,668,902.0913834571838
404.45618987083435,73,910.8447344303131
404.45618987083435,73,919.8407027721405
404.45618987083435,73,928.8310964107513
2498.111746072769,238,958.8162968158722
404.45618987083435,73,970.3413186073303
2960.3474140167236,500,1034.8784620761871
404.45618987083435,73,1044.9122014045715
404.45618987083435,73,1055.6847462654114
2922.9607198238373,309,1093.784189939499
