l,t
1000,10.552155494689941
2000,21.19721817970276
3000,31.620360851287842
4000,42.12525725364685
5000,52.68146586418152
6000,63.198126792907715
7000,73.77115106582642
8000,84.10485577583313
9000,94.40778422355652
10000,104.92303371429443
11000,115.27171158790588
12000,125.6127941608429
13000,135.9180450439453
14000,146.3453347682953
15000,156.72355842590332
16000,167.10806918144226
17000,177.3321533203125
18000,187.6390814781189
19000,198.06520557403564
20000,208.40595769882202
21000,312.64261078834534
22000,417.37693214416504
23000,522.390602350235
24000,627.0931437015533
25000,731.998482465744
26000,836.6203017234802
27000,941.7183041572571
28000,1047.0357518196106
29000,1152.100537776947
