l,t
1000,14.76235055923462
2000,29.218185424804688
3000,43.565157890319824
4000,58.09345293045044
5000,72.57149338722229
6000,87.26634693145752
7000,100.19666337966919
8000,113.57676839828491
9000,125.07775139808655
10000,138.0054030418396
11000,150.67180275917053
12000,164.25123620033264
13000,178.06868982315063
14000,191.57621145248413
15000,203.71237993240356
16000,214.8013834953308
17000,226.3010880947113
18000,237.4735667705536
19000,250.77691173553467
20000,264.6329894065857
21000,378.0775291919708
22000,486.71427941322327
23000,592.0711572170258
24000,697.7067439556122
25000,803.0517201423645
26000,908.1026935577393
27000,1013.730672121048
28000,1125.0498638153076
