r,l,t
0.0,464,6.88257622718811
0.0,464,13.61978816986084
0.0,464,20.24861454963684
0.0,464,27.06424069404602
0.0,464,33.71728825569153
0.0,464,40.39855122566223
0.0,464,47.12443542480469
0.0,464,53.883503437042236
0.0,464,60.62593483924866
0.0,464,67.33518624305725
0.0,464,74.05149006843567
0.0,464,80.74339628219604
0.0,464,87.76314568519592
0.0,464,93.97494411468506
0.0,464,99.5464038848877
0.0,464,106.18563866615295
0.0,464,112.22294068336487
0.0,464,117.96549034118652
0.0,464,122.96038818359375
0.0,464,128.4961166381836
0.0,464,134.40847253799438
0.0,464,140.73723721504211
0.0,464,146.43534588813782
0.0,464,152.4662709236145
0.0,464,158.86833715438843
342.1276545524597,58,159.95740914344788
0.0,464,165.59829235076904
0.0,464,172.08230328559875
0.0,464,179.15715765953064
0.0,464,185.1665542125702
0.0,464,191.2153434753418
0.0,464,197.3696150779724
0.0,464,202.5432596206665
0.0,464,207.660400390625
326.7776095867157,71,208.6413173675537
0.0,464,213.67196393013
0.0,464,218.97929644584656
0.0,464,224.36353015899658
0.0,464,229.44844365119934
0.0,464,234.3923270702362
0.0,464,239.85982990264893
0.0,464,245.94063234329224
0.0,464,254.2199022769928
0.0,464,259.87144207954407
0.0,464,273.46506357192993
60.425533175468445,369,318.3526258468628
803.4042646884918,839,411.58922123908997
868.9361785650253,1308,549.4912629127502
1186.3829882144928,2264,788.2293355464935
328.5106369256973,71,795.7722256183624
1565.9574199914932,1698,974.3556611537933
327.6595742702484,74,982.2070429325104
327.6595742702484,74,990.0544586181641
327.6595742702484,74,997.9796462059021
327.6595742702484,74,1005.8515260219574
327.6595742702484,74,1013.73171210289
327.6595742702484,74,1021.6391968727112
329.361700296402,70,1029.0390849113464
327.6595742702484,74,1036.8837983608246
327.6595742702484,74,1044.8031475543976
327.6595742702484,74,1052.8181664943695
327.6595742702484,74,1061.5122985839844
327.6595742702484,74,1070.1860783100128
327.6595742702484,74,1078.813956975937
327.6595742702484,74,1087.5007870197296
327.6595742702484,74,1096.1668894290924
327.6595742702484,74,1104.7479383945465
332.76595544815063,71,1112.3229489326477
332.76595520973206,70,1119.7878859043121
327.6595742702484,74,1127.6429929733276
327.6595742702484,74,1135.576447725296
327.6595742702484,74,1143.437346458435
327.6595742702484,74,1151.297144651413
332.76595520973206,70,1158.8452467918396
327.6595742702484,74,1166.7538332939148
327.6595742702484,74,1174.690276145935
327.6595742702484,74,1182.5957326889038
327.6595742702484,74,1190.5793437957764
